reference;wholesale_price;price;;;;;;discount
MMCLAMP-125;2,3;4,19;;;;;;30
MMCLAMP-125GD;3,67;6,68;;;;;;30
MMCLAMP-15;2,3;4,19;;;;;;30
MMCLAMP-157E;3,17;5,76;;;;;;30
MMCLAMP-15GD;3,67;6,68;;;;;;30
MMCLAMP-162E;3,17;5,76;;;;;;30
MMCLAMP-175;2,3;4,19;;;;;;30
MMCLAMP-175GD;3,67;6,68;;;;;;30
MMCLAMP-185E;3,22;5,86;;;;;;30
MMCLAMP-192E;3,22;5,86;;;;;;30
MMCLAMP-2;2,3;4,19;;;;;;30
MMCLAMP-21E;3,33;6,06;;;;;;30
MMCLAMP-225;2,3;4,19;;;;;;30
MMCLAMP-225GD;3,67;6,68;;;;;;30
MMCLAMP-226E;3,33;6,06;;;;;;30
MMCLAMP-241E;3,33;6,06;;;;;;30
MMCLAMP-25;2,3;4,19;;;;;;30
MMCLAMP-25GD;3,67;6,68;;;;;;30
MMCLAMP-25T;3,56;6,47;;;;;;30
MMCLAMP-25TGD;6,85;12,45;;;;;;30
MMCLAMP-271E;3,39;6,16;;;;;;30
MMCLAMP-275;2,3;4,19;;;;;;30
MMCLAMP-275GD;3,67;6,68;;;;;;30
MMCLAMP-275T;3,56;6,47;;;;;;30
MMCLAMP-275TGD;6,85;12,45;;;;;;30
MMCLAMP-286E;3,39;6,16;;;;;;30
MMCLAMP-2GD;3,67;6,68;;;;;;30
MMCLAMP-3;2,3;4,19;;;;;;30
MMCLAMP-316E;3,44;6,26;;;;;;30
MMCLAMP-325;1,67;3,03;;;;;;30
MMCLAMP-325GD;3,67;6,68;;;;;;30
MMCLAMP-325T;3,67;6,67;;;;;;30
MMCLAMP-325TGD;6,85;12,45;;;;;;30
MMCLAMP-346E;3,44;6,26;;;;;;30
MMCLAMP-35;2,3;4,19;;;;;;30
MMCLAMP-35GD;3,67;6,68;;;;;;30
MMCLAMP-35T;3,56;6,47;;;;;;30
MMCLAMP-35TGD;6,85;12,45;;;;;;30
MMCLAMP-375;1,67;3,03;;;;;;30
MMCLAMP-375GD;3,67;6,68;;;;;;30
MMCLAMP-375T;3,56;6,47;;;;;;30
MMCLAMP-375TGD;6,85;12,45;;;;;;30
MMCLAMP-3GD;3,67;6,68;;;;;;30
MMCLAMP-3T;3,56;6,47;;;;;;30
MMCLAMP-3TGD;6,85;12,45;;;;;;30
MMCLAMP-4;2,3;4,19;;;;;;30
MMCLAMP-425T;3,67;6,67;;;;;;30
MMCLAMP-425TGD;6,85;12,45;;;;;;30
MMCLAMP-4GD;3,67;6,68;;;;;;30
MMCLAMP-4T;3,56;6,47;;;;;;30
MMCLAMP-4TGD;6,85;12,45;;;;;;30
MMCLAMP-CTWG-105;1,94;3,53;;;;;;30
MMCLAMP-CTWG-105GD;3,67;6,68;;;;;;30
MMCLAMP-CTWG-117;1,94;3,53;;;;;;30
MMCLAMP-CTWG-117GD;3,67;6,68;;;;;;30
MMCLAMP-CTWG-54;1,67;3,03;;;;;;30
MMCLAMP-CTWG-54GD;2,61;4,75;;;;;;30
MMCLAMP-CTWG-66;1,67;3,03;;;;;;30
MMCLAMP-CTWG-66GD;2,61;4,75;;;;;;30
MMCLAMP-CTWG-79;1,67;3,03;;;;;;30
MMCLAMP-CTWG-79GD;2,61;4,75;;;;;;30
MMCLAMP-CTWG-92;1,94;3,53;;;;;;30
MMCLAMP-CTWG-92GD;3,67;6,68;;;;;;30
MMCLAMP-QD-25BK;70,56;128,29;;;;;;30
MMCLAMP-QD-25BL;70,56;128,29;;;;;;30
MMCLAMP-QD-25CL;70,56;128,29;;;;;;30
MMCLAMP-QD-25GD;70,56;128,29;;;;;;30
MMCLAMP-QD-25RD;70,56;128,29;;;;;;30
MMCLAMP-QD-30BK;73,5;133,64;;;;;;30
MMCLAMP-QD-30BL;73,5;133,64;;;;;;30
MMCLAMP-QD-30CL;73,5;133,64;;;;;;30
MMCLAMP-QD-30GD;73,5;133,64;;;;;;30
MMCLAMP-QD-30RD;73,5;133,64;;;;;;30
MMCLAMP-QDF-25;9,2;16,72;;;;;;30
MMCLAMP-QDF-30;9,9;18;;;;;;30
MMCLAMP-SP-137;2,22;4,04;;;;;;30
MMCLAMP-SP-155;2,33;4,24;;;;;;30
MMCLAMP-SP-173;2,39;4,34;;;;;;30
MMCLAMP-SP-214;2,61;4,74;;;;;;30
MMCLAMP-SP-25;2,78;5,05;;;;;;30
MMCLAMP-TOOL-E;11,11;20,2;;;;;;30
MMCLAMP-VA-25;19,44;35,35;;;;;;30
MMCLAMP-VA-3;19,44;35,35;;;;;;30
MMCLAMP-VA-35;21,66;39,39;;;;;;30
MMCLAMP-VA-4;21,66;39,39;;;;;;30
MMCLAMP-VS-15;11,82;21,49;;;;;;30
MMCLAMP-VS-175;12,38;22,51;;;;;;30
MMCLAMP-VS-2;13,27;24,13;;;;;;30
MMCLAMP-VS-25;15,94;28,99;;;;;;30
MMCLAMP-VS-3;18,43;33,51;;;;;;30
MMCLAMP-VS-35;21,66;39,39;;;;;;30
MMCLAMP-WG-101HT;1,11;2,02;;;;;;30
MMCLAMP-WG-101HTGD;2,61;4,75;;;;;;30
MMCLAMP-WG-114HT;1,11;2,02;;;;;;30
MMCLAMP-WG-114HTGD;2,61;4,75;;;;;;30
MMCLAMP-WG-127HT;1,39;2,52;;;;;;30
MMCLAMP-WG-127HTGD;2,61;4,75;;;;;;30
MMCLAMP-WG-12HT;1,94;3,53;;;;;;30
MMCLAMP-WG-12HTGD;3,67;6,68;;;;;;30
MMCLAMP-WG-16HT;1,94;3,53;;;;;;30
MMCLAMP-WG-16HTGD;3,67;6,68;;;;;;30
MMCLAMP-WG-20HT;1,94;3,53;;;;;;30
MMCLAMP-WG-20HTGD;3,67;6,68;;;;;;30
MMCLAMP-WG-27HT;1,94;3,53;;;;;;30
MMCLAMP-WG-27HTGD;3,67;6,68;;;;;;30
MMCLAMP-WG-32HT;2,22;4,04;;;;;;30
MMCLAMP-WG-32HTBK;3,89;7,07;;;;;;30
MMCLAMP-WG-32HTGD;3,67;6,68;;;;;;30
MMCLAMP-WG-44HT;2,22;4,04;;;;;;30
MMCLAMP-WG-44HTBK;3,89;7,07;;;;;;30
MMCLAMP-WG-44HTGD;3,67;6,68;;;;;;30
MMCLAMP-WG-51HT;2,22;4,04;;;;;;30
MMCLAMP-WG-51HTBK;4,03;7,32;;;;;;30
MMCLAMP-WG-51HTGD;4,21;7,65;;;;;;30
MMCLAMP-WG-57HT;2,22;4,04;;;;;;30
MMCLAMP-WG-57HTBK;4,16;7,57;;;;;;30
MMCLAMP-WG-57HTGD;4,21;7,65;;;;;;30
MMCLAMP-WG-64HT;2,22;4,04;;;;;;30
MMCLAMP-WG-64HTBK;4,16;7,57;;;;;;30
MMCLAMP-WG-64HTGD;4,21;7,65;;;;;;30
MMCLAMP-WG-76HT;0,84;1,52;;;;;;30
MMCLAMP-WG-76HTGD;2,09;3,8;;;;;;30
MMCLAMP-WG-95HT;0,84;1,52;;;;;;30
MMCLAMP-WG-95HTGD;2,09;3,8;;;;;;30
MMCLAMP-WGP-120;4,04;7,35;;;;;;30
MMCLAMP-WGP-39;10,14;18,43;;;;;;30
MMCLAMP-WGP-56;10,14;18,43;;;;;;30
