AERO KIT,,,,,,,,,,
,13,ARMAAUDIS6-B,S6 C7 4.0T  carbon fiber airbox,"US$1,320 ",US$924 ,US$858 ,US$792 ,US$726 ,,
,14,ARMAAUDIA7-A,A7 C7 3.0T carbon fiber airbox,"US$1,260 ",US$882 ,US$819 ,US$756 ,US$693 ,,
,15,ARMAAD0RS3-A,RS3 8V carbon fiber airbox,"US$1,375 ",US$963 ,US$894 ,US$825 ,US$756 ,,
,16,ARMAAD08VA-A,RS3 8V 2.5T carbon fiber airbox,"US$1,375 ",US$963 ,US$894 ,US$825 ,US$756 ,,
,17,ARMAAD0RS5-A,RS5 carbon fiber airbox (whole set) ,"US$1,540 ","US$1,078 ","US$1,001 ",US$924 ,US$847 ,,
,18,,RS5 carbon fiber airbox ,US$990 ,US$693 ,US$644 ,US$594 ,US$545 ,,
,19,ARMAAD0RS5-7,RS5 Carbons Front Slam Panel ( facelift only) ,US$660 ,US$462 ,US$429 ,US$396 ,US$363 ,1.8kgs,
,20,ARMAAD0RS6-A,RS6 C7 4.0T carbon fiber airbox,"US$1,540 ","US$1,078 ","US$1,001 ",US$924 ,US$847 ,,
,21,ARMAADS5B9-A,AUDI S4/RS4/S5/RS5 B9 carbon fiber airbox,"US$1,210 ",US$847 ,US$787 ,US$726 ,US$666 ,,
,22,ARMAAD0RS4-A,AUDI S4/RS4/S5/RS5 B9.5 carbon fiber airbox,"US$1,210 ",US$847 ,US$787 ,US$726 ,US$666 ,,
,23,ARMAADR6C8-A,Audi RS6 C8 Carbon Fiber Cold Air Cover (without air filter),"US$1,150 ",US$805 ,US$748 ,US$690 ,US$633 ,,
New,No.,Part#,Description,MSRP,"Tier 1
30% off 10 SET","Tier 2
35% off 11-30 SET","Tier 3
40% off 31 SET above","Tier 4
45% off
Distributor",,
BMW,,,,,,,,,,
,1,ARMABMW535-A,"E60 535i /
E61 535i /           (N54B30) carbon fiber airbox",US$985 ,US$690 ,US$640 ,US$591 ,US$542 ,,
,2,ARMABM8235-A,"E8X 135i /
E82 1M /             (N54B30) carbon fiber airbox",US$985 ,US$690 ,US$640 ,US$591 ,US$542 ,,
,3,ARMABMWE9X-A,"E9X 323i / 330i
E9X 325i /          (N52) carbon fiber airbox",US$924 ,US$647 ,US$601 ,US$554 ,US$508 ,,
,4,ARMABMW335-A,"E90 /
E91 /
E92 /                 335i (N54B30) carbon fiber airbox
E93 /",US$984 ,US$689 ,US$640 ,US$590 ,US$541 ,,
,5,ARMABMW528-A,F10 520i /     528i /    (N20B20) carbon fiber airbox,"US$1,320 ",US$924 ,US$858 ,US$792 ,US$726 ,,
,6,ARMAF10535-A,"F10 535i /
F12 640i /           (N55B30) carbon fiber airbox
F13 640i / ","US$1,375 ",US$963 ,US$894 ,US$825 ,US$756 ,,
,7,ARMAF10535-S,"F10 535i /
F12 640i /   (N55B30) forged carbon fiber airbox
F13 640i / ","US$1,716 ","US$1,201 ","US$1,115 ","US$1,030 ",US$944 ,,
,8,ARMABMWF20-A ,"F20 116i /
F20 118i /          (N13B16) carbon fiber airbox","US$1,100 ",US$770 ,US$715 ,US$660 ,US$605 ,,
,9,ARMABMWF30-A,"F20 M135i / 
F22 M235i / ( N55) carbon fiber airbox","US$1,210 ",US$847 ,US$787 ,US$726 ,US$666 ,,
,10,ARMAF30328-A,"F20 125i / 
F30 320i /
F30 328i /          (N20B20) carbon fiber airbox 
F32 420i /","US$1,100 ",US$770 ,US$715 ,US$660 ,US$605 ,,
,11,ARMABM3034-A,"F20 M140i / 
F30 340i /           (B58) carbon fiber airbox","US$1,210 ",US$847 ,US$787 ,US$726 ,US$666 ,,
,12,ARMABMWF30-A,"F30 335i /
F32 435i /          (N55B30) carbon fiber airbox","US$1,210 ",US$847 ,US$787 ,US$726 ,US$666 ,,
,13,ARMABM3020-A,"F30 320i /
F30 330i /          LCI (B48) carbon fiber airbox","US$1,100 ",US$770 ,US$715 ,US$660 ,US$605 ,,
,14,ARMABMF225-A,F45 225i (B48) carbon fiber airbox,US$990 ,US$693 ,US$644 ,US$594 ,US$545 ,,
,15,ARMABM3034-A,F36 440i (B58) carbon fiber airbox,"US$1,210 ",US$847 ,US$787 ,US$726 ,US$666 ,,
,16,ARMABMWX6G-A,E70 X5/E71 X6 35i (N55B30)/ carbon fiber airbox,"US$1,425 ",US$998 ,US$926 ,US$855 ,US$784 ,,
,17,ARMABM92M3-A,E92 M3 (S65B40) carbon fiber airbox,"US$1,232 ",US$862 ,US$801 ,US$739 ,US$678 ,,
,18,ARMABMF10M-A,"F10 /       M5 carbon fiber airbox
F06 / 
F12 /       M6 carbon fiber airbox
F13 / ","US$1,854 ","US$1,298 ","US$1,205 ","US$1,112 ","US$1,020 ",,
,19,ARMABM82M4-A,"F80 M3 / 
F82 M4 / carbon fiber airbox","US$2,195 ","US$1,537 ","US$1,427 ","US$1,317 ","US$1,207 ",,
,20,ARMABM87M2-A,F87 M2 carbon fiber airbox,"US$1,430 ","US$1,001 ",US$930 ,US$858 ,US$787 ,,
,21,CG85-02-0C26,F90 M5 S63 carbon fiber intake ,"US$1,947 ","US$1,363 ","US$1,266 ","US$1,168 ","US$1,071 ",,
,22,ARMABMG2033-A,G20 320i/330i B48 carbon fiber intake (whole set),"US$1,208 ",US$846 ,US$785 ,US$725 ,US$664 ,,
,23,ARMABMG2033-3/4,G20 320i/330i front induction + right upper cover,US$578 ,US$405 ,US$376 ,US$347 ,US$318 ,,
,24,ARMABM2134-A,G20/G21 M340 B58 carbon fiber intake,"US$1,208 ",US$846 ,US$785 ,US$725 ,US$664 ,,
,25,CG85-02-0022  ,G12 740 B58/ G30 540 B58/ G30 530/ 540 B48 carbon fiber inbox (alloy base + carbon fiber cover),US$935 ,US$655 ,US$608 ,US$561 ,US$514 ,,G30 4WD #  CG85-020C27
,26,ARMABMG0X4-A,G01/ G08 X3 G02 X4 20i/30i B48 xDrive carbon fiber intake (alloy base + carbon fiber cover),US$935 ,US$655 ,US$608 ,US$561 ,US$514 ,,
,27,ARMAMIM135-A,F40 M135 B48 carbon fiber intake (alloy base + carbon fiber cover),"US$1,265 ",US$886 ,US$822 ,US$759 ,US$696 ,,
,28,ARMABMG0X6-A,G06 X6 B58/XDrive40i/XDrive40i M sport carbon fiber intake,"US$1,166 ",US$816 ,US$758 ,US$700 ,US$641 ,,
,29,ARMABG82M4-A-3/4,BMW G8X M 3/4 S58 Carbon Fiber cold air intake (carbon fiber tube+carbon fiber lid+aluminum base) ,"US$1,580 ","US$1,106 ","US$1,027 ",US$948 ,US$869 ,,
,30,ARMABG82M4-A,BMW G8X M 3/4 S58 Cold Air intake only (carbon fiber tube + aluminum base) ,US$980 ,US$686 ,US$637 ,US$588 ,US$539 ,,
,31,ARMABG82M4-3/4,BMW G8X M 3/4 Carbon Fiber Cover ,US$700 ,US$490 ,US$455 ,US$420 ,US$385 ,,
,32,ARMABG82M4-5,BMW G8X M  3/4 Carbon Fiber Radiator Cooling Slam Panel Cover ,US$340 ,US$238 ,US$221 ,US$204 ,US$187 ,,
FERRARI,,,,,,,,,,
,1,ARMAFER458-A,Ferrari 458 carbon fiber cold air intake,"US$4,950","US$3,465 ","US$3,218 ","US$2,970 ","US$2,723 ",,
,2,ARMAFER488-A,Ferrari 488 carbon fiber cold air intake,"US$4,950","US$3,465 ","US$3,218 ","US$2,970 ","US$2,723 ",,
FORD,,,,,,,,,,
,1,ARMAFDKU25-A,FORD KUGA 250 Carbon Fiber Cold Air Intake,US$737,US$516 ,US$479 ,US$442 ,US$405 ,,
,2,1CCFD06F01-A,"FORD MK4, MK4 ST, KUGA Carbon Fiber Induct",US$385,US$270 ,US$250 ,US$231 ,US$212 ,,
HONDA,,,,,,,,,,
,1,ARMAHDATYR-A,Civic Type R (FK2) carbon fiber airbox,"US$1,210 ",US$847 ,US$787 ,US$726 ,US$666 ,,
,2,ARMATYPFK8-A,Civic Type R (FK8) carbon fiber airbox,"US$1,210 ",US$847 ,US$787 ,US$726 ,US$666 ,,
,3,ARMAHDCR15-A,Honda CRV (Intake Cover+ Intake + OEM Filter),US$770 ,US$539 ,US$501 ,US$462 ,US$424 ,,
,4,,Honda CRV Intake Cover,US$242 ,US$169 ,US$157 ,US$145 ,US$133 ,,
,5,,Honda CRV (Intake + OEM Filter),US$583 ,US$408 ,US$379 ,US$350 ,US$321 ,,
INFINITI,,,,,,,,,,
,1,ARMABZA250G-A,"Q30 1.6t /
Q30 2.0t / carbon fiber airbox",US$891 ,US$624 ,US$579 ,US$535 ,US$490 ,,
,2,ARMAINFQ50-A,Q50 2.0t carbon fiber airbox,US$880 ,US$616 ,US$572 ,US$528 ,US$484 ,,
New,No.,Part#,Description,MSRP,"Tier 1
30% off 10 SET","Tier 2
35% off 11-30 SET","Tier 3
40% off 31 SET above","Tier 4
45% off Distributor",,
LEXUS,,,,,,,,,,
,1,ARMAIS200T-A,IS200T (XE30) carbon fiber airbox,US$990 ,US$693 ,US$644 ,US$594 ,US$545 ,,
,2,ARMANX200T-A,NX200T carbon fiber airbox,US$935 ,US$655 ,US$608 ,US$561 ,US$514 ,,
,3,ARMANX200T-3,NX200T carbon fiber battery cover,US$165 ,US$116 ,US$107 ,US$99 ,US$91 ,,
MASERATI,,,,,,,,,,
