reference;wholesale_price;price
VWR13G500;230,69;443,63
VWR13G700;321,05;668,85
VWR13G700RFK;32,76;54,6
VWR13G700-SERV;15,07;31,4
VWR180000;6,01;15,02
VWR180001;26,21;54,6
VWR180002;14,41;30,03
VWR180003;14,41;30,03
VWR180004;18,35;38,22
VWR180005;2,52;5,25
VWR180006;6,82;17,05
VWR18G700;288,29;600,6
VWR18G700-EUBRACKETS;24,84;47,78
VWR18G700-SERV;15,07;31,4
VWR190000;43,68;109,2
VWR190001;53,51;133,77
VWR190002;32,76;81,9
VWR190003;54,05;135,14
VWR190004;32,76;81,9
VWR190005;27,15;67,6
VWR190006;40,25;98,39
VWR19G701;27,3;68,25
VWR19G702;32,76;81,9
VWR19G703;38,22;95,55
VWR19G704;32,76;81,9
VWR19G706;35,49;88,73
VWR19G707;32,76;81,9
VWR19G708;38,22;95,55
VWR19G709;40,95;102,38
VWR19G711;43,68;109,2
VWR493000;89,99;187,49
VWR493001;89,99;187,49
VWR494100;89,99;187,49
VWR494101;89,99;187,49
VWR49G700;89,99;187,49
VWR49G701;89,99;187,49
VWR700000;65,51;136,49
VWR810000;11,47;28,67
VWR810002;38,66;80,54
VWR810003;131,04;273
VWR810004;98,28;204,75
VWR810005;85,18;177,45
VWR810006;137,59;286,65
VWR810009;27,52;57,33
VWR8130S3;218,84;455,91
VWR8130S3-SEDAN;218,84;455,91
VWR814100;212,94;443,63
VWR81G700;218,84;455,91
VWR81G7-HARDWARE;11,14;23,21
VWR800000;4,91;10,24
VWR800001;4,91;10,24
VWR800004;4,91;10,24
VWR800002;4,91;10,24
VWR800003;4,91;10,24
VWR800001-BLK;22,93;47,78
VWR800001-SVR;22,93;47,78
VWR800002-BLK;26,26;50,51
VWR800002-SVR;26,26;50,51
VWR150000;54,59;113,73
VWR150001;163,79;341,24
VWR150002;175,27;292,11
VWR150003;50,39;104,99
VWR150004;50,39;104,99
VWR15G501;175,27;292,11
VWR15G502;175,27;292,11
VWR15G503;121,54;217,04
VWR15G503-RACE;121,54;217,04
VWR15G701;262,08;436,8
VWR15G702;245,7;409,5
VWR15G703;163,8;273
VWR29G7250;343,98;716,63
VWR29DQ381;359,7;749,39
VWR600007;720,06;1500,14
VWR610007;198,02;412,53
VWR600360BLK;720,06;1500,14
VWR600360GUN;720,06;1500,14
VWR600360SVR;720,06;1500,14
VWR610360BLK;198,02;412,53
VWR610360GUN;198,02;412,53
VWR610360SVR;198,02;412,53
VWR630000;78,62;163,8
VWR630001;78,62;163,8
VWR630002;78,62;163,8
VWR630003;78,62;163,8
VWR630007;2,62;5,46
VWR630008;2,62;5,46
VWR630009;1,31;2,73
VWR630010;1,31;2,73
VWR630100;10,75;22,5
VWR630137;1,2;2,5
VWR630139;1,2;2,5
VWR630142;1,2;2,5
VWR630147;1,2;2,5
VWR630237;1,2;2,5
VWR630239;1,2;2,5
VWR630242;1,2;2,5
VWR630247;1,2;2,5
VWR640012;42,53;87,49
VWR640015;45,17;93,74
VWR640017;48,36;99,99
VWR640020;51,36;106,24
VWR640112;42,53;87,49
VWR640115;45,17;93,74
VWR640117;48,36;99,99
VWR640120;51,36;106,24
VWR699999;6,55;13,65
VWR030000-F3RSQ3;373,78;778,7
VWR030000-F3RSQ3OPF;373,78;778,7
VWR030000-IS20;373,78;778,7
VWR030000-IS38;373,78;778,7
VWR030000-IS20-E;373,78;778,7
VWR030000-IS38-E;373,78;778,7
VWR030001-GAR;373,78;778,7
VWR030001-CONT;373,78;778,7
VWR030001-GAR-R;373,78;778,7
VWR030001-CONT-R;373,78;778,7
VWR030001-RS38YOPF;373,78;778,7
VWR030001-RS38Y;373,78;778,7
VWR030002-115E;373,78;778,7
VWR030002-150E;373,78;778,7
VWR030002-200E;373,78;778,7
VWRA001S;16,38;27,3
VWRA001M;16,38;27,3
VWRA001L;16,38;27,3
VWRA001XL;16,38;27,3
VWRA001XXL;16,38;27,3
VWRA002S;30,71;51,19
VWRA002M;30,71;51,19
VWRA002L;30,71;51,19
VWRA002XL;30,71;51,19
VWRA002XXL;30,71;51,19
VWRA003S;30,71;51,19
VWRA003M;30,71;51,19
VWRA003L;30,71;51,19
VWRA003XL;30,71;51,19
VWRA003XXL;30,71;51,19
VWRA004S;30,71;51,19
VWRA004M;30,71;51,19
VWRA004L;30,71;51,19
VWRA004XL;30,71;51,19
VWRA004XXL;30,71;51,19
VWRA10000;4,91;8,19
