reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
GSGQ4-91AS2;427,5;570;570;513;684;;;15
VSGJ0-G1AS2;570;760;760;684;912;;;15
VSGJ0-B1DS2;336;560;560;403,2;672;;;30
SKTB2-S3B00;154;220;220;184,8;264;;;20
VSQ62-C1AA3;547,5;730;730;657;876;;;15
VSQ62-C1AS3;547,5;730;730;657;876;;;15
VSQ62-J1AS3;982,5;1310;1310;1179;1572;;;15
GSL90-9USS2;390;520;520;468;624;;;15
SKL78-AUB00;105;150;150;126;180;;;20
SKL78-S3B00;105;150;150;126;180;;;20
VSC76-C1SA3;502,5;670;670;603;804;;;15
VSC76-J1SS3;960;1280;1280;1152;1536;;;15
GST76-81SS2;345;460;460;414;552;;;15
GST76-91SS2;390;520;520;468;624;;;15
SKY98-AUB00;119;170;170;142,8;204;;;20
SKY98-S3B00;119;170;170;142,8;204;;;20
VST76-C1SA3;502,5;670;670;603;804;;;15
VST76-C1SS3;502,5;670;670;603;804;;;15
GSQ22-81SS2;345;460;460;414;552;;;15
GSQ22-91SS2;390;520;520;468;624;;;15
VSQ22-C1SA3;502,5;670;670;603;804;;;15
SKC72-BUB00;112;160;160;134,4;192;;;20
SKC72-C3B00;112;160;160;134,4;192;;;20
GSY20-71SS3;825;1100;1100;990;1320;;;15
GSY20-81SS2;345;460;460;414;552;;;15
GSY20-91SS2;390;520;520;468;624;;;15
VSY20-C1SA3;502,5;670;670;603;804;;;15
VSY20-C1SS3;502,5;670;670;603;804;;;15
GSQ74-71AS3;877,5;1170;1170;1053;1404;;;15
GSQ74-91AS2;427,5;570;570;513;684;;;15
SKQ74-AUB00;112;160;160;134,4;192;;;20
SKQ74-S3B00;112;160;160;134,4;192;;;20
VSQ74-C1AS3;547,5;730;730;657;876;;;15
VSQ74-J1AS3;982,5;1310;1310;1179;1572;;;15
SKL90-AUB00;119;170;170;142,8;204;;;20
SKL90-S3B00;119;170;170;142,8;204;;;20
SKY94-S3B00;105;150;150;126;180;;;20
SKTE6-AUB00;84;120;120;100,8;144;;;20
SKTE6-S3B00;84;120;120;100,8;144;;;20
VSY66-C1SA3;480;640;640;576;768;;;15
VSY66-C1SS3;480;640;640;576;768;;;15
GST60-71SS3;825;1100;1100;990;1320;;;15
GST60-81SS2;345;460;460;414;552;;;15
GST60-91SS2;390;520;520;468;624;;;15
VST60-C1SA3;502,5;670;670;603;804;;;15
VST60-C1SS3;502,5;670;670;603;804;;;15
VSQ36-A1DS2;240;400;400;288;480;;;30
VSQ36-B1DS2;276;460;460;331,2;552;;;30
VSY98-A1DS2;216;360;360;259,2;432;;;30
VSY98-B1DS2;252;420;420;302,4;504;;;30
VSL90-A1DS2;216;360;360;259,2;432;;;30
VSL90-B1DS2;252;420;420;302,4;504;;;30
VSAGA-B1DS2;252;420;420;302,4;504;;;30
VSQ06-B1DS2;306;510;510;367,2;612;;;30
GSMB0-91AS3;450;600;600;540;720;;;15
VSMB0-C1AA3;630;840;840;756;1008;;;15
GSM68-91AS2;427,5;570;570;513;684;;;15
GSM94-91AS2;427,5;570;570;513;684;;;15
GSM98-91AS3;480;640;640;576;768;;;15
GSMA8-91AS3;450;600;600;540;720;;;15
VSMA8-C1AS3;615;820;820;738;984;;;15
SKMA8-G1B00;112;160;160;134,4;192;;;20
VSMC4-C1AS3;615;820;820;738;984;;;15
GSMB2-91AS3;450;600;600;540;720;;;15
VSMC2-C1AS3;615;820;820;738;984;;;15
SKMC2-G1B00;105;150;150;126;180;;;20
SKM90-S5B00;140;200;200;168;240;;;20
SKM66-AUB00;98;140;140;117,6;168;;;20
SKM66-S3B00;98;140;140;117,6;168;;;20
GSW02-91AS3;450;600;600;540;720;;;15
VSW02-C1AS3;615;820;820;738;984;;;15
SKW02-G1B00;112;160;160;134,4;192;;;20
SKM70-AUB00;105;150;150;126;180;;;20
SKM70-S3B00;105;150;150;126;180;;;20
SKM80-AUB00;112;160;160;134,4;192;;;20
GSM40-71SS1;825;1100;1100;990;1320;;;15
GSM64-8USS2;330;440;440;396;528;;;15
GSM64-9USS2;375;500;500;450;600;;;15
SKM64-S3B00;77;110;110;92,4;132;;;20
VSM40-C1SA1;510;680;680;612;816;;;15
VSM40-K1LS1;975;1300;1300;1170;1560;;;15
SKM44-S3B00;91;130;130;109,2;156;;;20
GSM74-71SS3;825;1100;1100;990;1320;;;15
