reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
GSA36-8USS2;345;460;460;414;552;;;0,15
GSA36-9USS2;390;520;520;468;624;;;0,15
GSH48-91SS2;390;520;520;468;624;;;0,15
SKH26-S1B00;98;140;140;117,6;168;;;0,2
SKH26-S3B00;98;140;140;117,6;168;;;0,2
GSA00-8USS2;345;460;460;414;552;;;0,15
GSA00-9USS2;390;520;520;468;624;;;0,15
SKA00-S3B00;73,5;105;105;88,2;126;;;0,2
GSH00-71SS1;825;1100;1100;990;1320;;;0,15
VSH00-C1SS3;502,5;670;670;603;804;;;0,15
VSH00-K1LS1;975;1300;1300;1170;1560;;;0,15
SKH36-AVB00;91;130;130;109,2;156;;;0,2
GSH98-8USS2;345;460;460;414;552;;;0,15
GSH98-9USS2;390;520;520;468;624;;;0,15
GSA22-8USS2;360;480;480;432;576;;;0,15
GSA22-9USS2;412,5;550;550;495;660;;;0,15
SKA22-S3B00;77;110;110;92,4;132;;;0,2
VSA22-CUSA1;682,5;910;910;819;1092;;;0,15
SKA92-S3B00;119;170;170;142,8;204;;;0,2
SKHA2-S1B00;98;140;140;117,6;168;;;0,2
SKHA2-S3B00;98;140;140;117,6;168;;;0,2
VSHA2-C1AA1;615;820;820;738;984;;;0,15
VSHA2-C1AS1;615;820;820;738;984;;;0,15
GSHH6-8UAS2;405;540;540;486;648;;;0,15
GSHH6-9UAS3;450;600;600;540;720;;;0,15
SKHH6-AUB00;98;140;140;117,6;168;;;0,2
SKHH6-S3B00;98;140;140;117,6;168;;;0,2
VSHH6-CUAA4;630;840;840;756;1008;;;0,15
GSAA6-8UAS2;405;540;540;486;648;;;0,15
VSAA6-CUAS4;630;840;840;756;1008;;;0,15
VSAFV-CUAA4;615;820;820;738;984;;;0,15
SKA12-AVB00;119;170;170;142,8;204;;;0,2
VSB56-C1AA1;562,5;750;750;675;900;;;0,15
VSB56-C1AS1;562,5;750;750;675;900;;;0,15
SKHK8-S1B00;112;160;160;134,4;192;;;0,2
SKHK8-S3B00;112;160;160;134,4;192;;;0,2
VSHK8-K1NS4;1500;2000;2000;1800;2400;;;0,15
GSHA2-91AS2;420;560;560;504;672;;;0,15
