SKU,Name,Category,Market,Weight,Height,Width,Length,Barcode,Price EU RRP,Your Cost
MMAI-BRZ-13BBK,"Subaru/Scion/Toyota BRZ/FR-S/86 Air Intake Kit, 2013+, Black",Air Intake Kits & Components,Sport Compact,19.28,10,16,20,748354020212,314.60,173.03
MMAI-BRZ-13BBL,"Subaru/Scion/Toyota BRZ/FR-S/86 Air Intake Kit, 2013+, Blue",Air Intake Kits & Components,Sport Compact,19.28,10,16,20,748354020229,314.60,173.03
MMAI-BRZ-13BRD,"Subaru/Scion/Toyota BRZ/FR-S/86 Air Intake Kit, 2013+, Red",Air Intake Kits & Components,Sport Compact,19.28,10,16,20,748354020236,373.07,205.19
MMAI-BRZ-13P,"Subaru/Scion/Toyota BRZ/FR-S/86 Cold Air Intake Kit, 2013+, Polished",Air Intake Kits & Components,Sport Compact,13.49,8,14,20,748354012590,328.47,180.66
MMAI-BRZ-13WBK,"Subaru/Scion/Toyota BRZ/FR-S/86 Cold Air Intake Kit, 2013+, Wrinkle Black",Air Intake Kits & Components,Sport Compact,13.49,8,14,20,748354012606,328.47,180.66
MMAI-CIV-16BK,"Honda Civic 1.5T Air Intake Kit, 2016-2021, Black",Air Intake Kits & Components,Sport Compact,23.13,10,16,24,748354030600,290.90,160.00
MMAI-CIV-16BL,"Honda Civic 1.5T Air Intake Kit, 2016-2021, Blue",Air Intake Kits & Components,Sport Compact,23.13,10,16,24,748354030617,290.90,160.00
MMAI-CIV-16RD,"Honda Civic 1.5T Air Intake Kit, 2016-2021, Red",Air Intake Kits & Components,Sport Compact,23.13,10,16,24,748354030624,290.90,160.00
MMAI-CLA45-14BK,2014-2019 Mercedes-Benz CLA45 AMG Performance Air Intake,Air Intake Kits & Components,European,19.28,10,16,20,748354021233,392.83,216.06
MMAI-CTR-17,17-21 Honda Civic Type-R Performance Air intake,Air Intake Kits & Components,Sport Compact,19.28,10,16,20,811580032851,476.14,261.88
MMAI-CTR-17UBK,"17-21 Honda Civic Type-R Inlet Pipe Upgrade Kit, Black",Air Intake Kits & Components,Sport Compact,34.7,12,20,24,840197702277,419.07,230.49
MMAI-CTR-17URD,"17-21 Honda Civic Type-R Inlet Pipe Upgrade Kit, Red",Air Intake Kits & Components,Sport Compact,34.7,12,20,24,840197702284,419.07,230.49
MMAI-E46-01BK,"BMW E46 330i Air Intake Kit, 2001-2006",Air Intake Kits & Components,European,23.13,10,16,24,748354026634,256.52,141.09
MMAI-E46-99BK,"BMW E46 323i/325i/328i Air Intake Kit, 1999-2005",Air Intake Kits & Components,European,13.49,8,14,20,748354020694,234.76,129.12
MMAI-F30-12P,"BMW F3X 3-Series N20/N26 Air Intake Kit, 2012-2017, Polished",Air Intake Kits & Components,European,26.02,10,18,24,748354022889,406.09,223.35
MMAI-F30-12WBK,"BMW F3X 3-Series N20/N26 Air Intake Kit, 2012-2017, Wrinkle Black",Air Intake Kits & Components,European,26.02,10,18,24,748354022896,406.09,223.35
MMAI-FIST-14P,"Ford Fiesta ST Air Intake Kit, 2014-2015, Polished",Air Intake Kits & Components,Sport Compact,26.02,10,18,24,748354025743,357.53,196.64
MMAI-FIST-14WBK,"Ford Fiesta ST Air Intake Kit, 2014-2015, Wrinkle Black",Air Intake Kits & Components,Sport Compact,26.02,10,18,24,748354025750,357.53,196.64
MMAI-FIST-14WRD,"Ford Fiesta ST Air Intake Kit, 2014-2015, Wrinkle Red",Air Intake Kits & Components,Sport Compact,26.02,10,18,24,748354025767,357.53,196.64
MMAI-FOST-13P,"Ford Focus ST Air Intake Kit, 2013-2018, Polished",Air Intake Kits & Components,Sport Compact,26.02,10,18,24,748354026078,372.01,204.61
MMAI-FOST-13WBK,"Ford Focus ST Air Intake Kit, 2013-2018, Wrinkle Black",Air Intake Kits & Components,Sport Compact,26.02,10,18,24,748354026085,372.01,204.61
