SKU,Name,Category,Market,Weight,Height,Width,Length,Barcode,Price EU RRP,Your Cost
MMDBH-YZ250F-01KTBL,"01-05 Yamaha YZ250F / 01-06 WR250F Silicone Radiator Hoses, Blue",Hoses & Couplers,Powersports,2.11,3,13,9,748354802597,12.36,6.80
MMDBH-YZ250F-07KTBL,"Yamaha YZ250F Silicone Hoses, 2007-2009, Blue",Hoses & Couplers,Powersports,2.11,3,13,9,748354802658,72.83,40.06
MMDBH-YZ450F-00KTBL,"Yamaha YZ450F Silicone Radiator Hoses, 2003-2005, Blue",Hoses & Couplers,Powersports,2.11,3,13,9,748354802719,12.00,6.60
MMDBH-YZ450F-10BL,"Yamaha YZ450F Silicone Radiator Hoses, 2010-2013, Blue",Hoses & Couplers,Powersports,2.28,3,14,9,748354805642,12.36,6.80
MMDB-KTM2-03LX,"KTM 450/525 MXC/EXC Braced Aluminum Dirt Bike Radiator, 2003-2007",Radiators,Powersports,5.9,7,7,20,748354806557,166.46,91.55
MMDB-KTM2-03RX,"KTM 450/525 MXC/EXC Braced Aluminum Dirt Bike Radiator, 2003-2007",Radiators,Powersports,5.9,7,7,20,748354806564,166.46,91.55
MMDB-KTM3-08LX,"08-11 KTM 250EXCF / 11-12 350SXF / 09-11 400EXC / 08-12 450EXC / 09-11 530EXC Braced Aluminum Radiator, Left",Radiators,Powersports,5.9,7,7,20,748666000681,38.11,20.96
MMDB-KTM4-08RX,KTM 08-11 KTM 250EXCF 11-12 350SXF 09-11 400EXC Braced Aluminum Radiator Right,Radiators,Powersports,5.69,7,7.5,18,748666001374,38.11,20.96
MMDB-KTM5-07LX,"07-12 KTM 450 SXF / 08-12 450 SMR / 08-09 450 XCF / 07-08 505 SXF / 08-09 505 XCF Braced Aluminum Radiator, Left",Radiators,Powersports,5.9,7,7,20,748666000698,39.40,21.67
MMDB-KX250F-10LX,"Kawasaki KX250F Braced Aluminum Dirt Bike Radiator, 2010-2014",Radiators,Powersports,5.9,7,7,20,748666000667,38.11,20.96
MMDB-KX250F-10RX,"Kawasaki KX250F Braced Aluminum Dirt Bike Radiator, 2010-2014",Radiators,Powersports,5.9,7,7,20,748666000674,38.11,20.96
MMDB-KX450F-08RX,"Kawasaki KX450F Braced Aluminum Dirt Bike Radiator, 2008",Radiators,Powersports,5.9,7,7,20,748354806441,38.63,21.24
MMDB-KX450F-10LX,"Kawasaki KX450F Braced Aluminum Dirt Bike Radiator, 2010-2012",Radiators,Powersports,5.9,7,7,20,748354806342,40.99,22.54
MMDB-KX450F-10RX,"Kawasaki KX450F Braced Aluminum Dirt Bike Radiator, 2010-2012",Radiators,Powersports,5.9,7,7,20,748354806359,38.63,21.24
MMDB-KX85-98X,"Kawasaki KX80/KX85/KX100 Braced Aluminum Dirt Bike Radiator, 1998-2013",Radiators,Powersports,5.9,7,7,20,748354806687,166.46,91.55
MMDB-RM85-00X,"Suzuki RM85 Braced Aluminum Dirt Bike Radiator, 2002-2010",Radiators,Powersports,5.9,7,7,20,748354806380,207.72,114.25
MMDB-RMZ250-07LX,"Suzuki RMZ250 Braced Aluminum Dirt Bike Radiator, 2007-2009",Radiators,Powersports,5.9,7,7,20,748356000045,38.11,20.96
MMDB-RMZ250-07RX,"Suzuki RMZ250 Braced Aluminum Radiator, Right, 2007-2009",Radiators,Powersports,8,7,7,20,748356000052,38.11,20.96
MMDB-RMZ250-10RX,"Mishimoto Suzuki RMZ250 Braced Aluminum Dirt Bike Radiator, 2010-2012, Right",Radiators,Powersports,5.9,7,7,20,748666004481,38.11,20.96
MMDB-RMZ450-05LX,"Suzuki RMZ450 Braced Aluminum Dirt Bike Radiator, 2005-2007",Radiators,Powersports,5.9,7,7,20,748354806366,39.65,21.81
MMDB-RMZ450-08LX,"Suzuki RMZ450 Braced Aluminum Dirt Bike Radiator, 2008-2013",Radiators,Powersports,5.9,7,7,20,748354806519,96.83,53.26
MMDB-RMZ450-08RX,"Suzuki RMZ450 Braced Aluminum Dirt Bike Radiator, 2008-2013",Radiators,Powersports,5.9,7,7,20,748354806526,38.11,20.96
MMDB-YZ125-05LX,"Yamaha YZ125 Braced Aluminum Dirt Bike Radiator,2005-2014",Radiators,Powersports,5.9,7,7,20,748356000090,38.11,20.96
MMDB-YZ125-05RX,"Yamaha YZ125 Braced Aluminum Dirt Bike Radiator, 2005-2014",Radiators,Powersports,5.9,7,7,20,748356000106,39.65,21.81
MMDB-YZ250-05RX,"Yamaha YZ250 2-Stroke Aluminum Dirt Bike Radiator, 2005-2014",Radiators,Powersports,5.83,7,7,19.75,748666000964,38.11,20.96
MMDB-YZ250F-07LX,"Yamaha YZ250F Braced Aluminum Dirt Bike Radiator, 2007-2009",Radiators,Powersports,5.9,7,7,20,748354806793,38.11,20.96
MMDB-YZ250F-07RX,"Yamaha YZ250F Braced Aluminum Dirt Bike Radiator, 2007-2009",Radiators,Powersports,5.9,7,7,20,748354806809,40.19,22.10
MMDB-YZ250F-10LX,"Yamaha YZ250F Braced Aluminum Dirt Bike Radiator, 2010-2013",Radiators,Powersports,5.9,7,7,20,748354806458,37.00,20.35
MMDB-YZ250F-10RX,"Yamaha YZ250F Braced Aluminum Dirt Bike Radiator, 2010-2013",Radiators,Powersports,5.9,7,7,20,748354806502,39.40,21.67
MMDB-YZ450F-00LX,"Yamaha YZ450F/YZ426F/WR426F Braced Aluminum Dirt Bike Radiator, 2000-2005",Radiators,Powersports,5.9,7,7,20,748354806816,39.65,21.81
MMDB-YZ450F-00RX,"Yamaha YZ450F/YZ426F/WR426F Braced Aluminum Dirt Bike Radiator, 2000-2005",Radiators,Powersports,5.9,7,7,20,748354806823,39.40,21.67
MMDB-YZ450F-10LX,"Yamaha YZ450F Braced Aluminum Dirt Bike Radiator, 2010-2013",Radiators,Powersports,5.9,7,7,20,748666000643,38.11,20.96
MMDB-YZ450F-10RX,"Yamaha YZ450F Braced Aluminum Dirt Bike Radiator, 2010-2013",Radiators,Powersports,5.9,7,7,20,748666000650,38.63,21.24
MMDB-YZ85-02X,"Yamaha YZ85 Braced Aluminum Dirt Bike Radiator, 2002-2013",Radiators,Powersports,5.9,7,7,20,748354806748,38.11,20.96
MMEXH-ADAP-3DSE,"Subaru Exhaust Adapter, 3"" Downpipe to Stock Exhaust",Exhaust Systems,Sport Compact,2,2,7,7,748354017113,51.01,28.06
MMEXH-ADAP-MUS4,"Ford Mustang EcoBoost Exhaust Adapter, 2015+",Exhaust Systems,Modern Muscle,26.88,13.75,13.75,23.6,748354028065,92.77,51.02
MMEXH-ADAP-SDAE,"Subaru Exhaust Adapter, Stock Downpipe to 3"" Exhaust",Exhaust Systems,Sport Compact,2,2,7,7,748354020946,51.01,28.06
MMEXH-MUS4-15,"Ford Mustang EcoBoost Cat-Back Exhaust, 2015+",Exhaust Systems,Modern Muscle,56.99,20,11,43,748354024890,985.40,541.97
MMEXH-MUS8-15APBK,"2015-2017 Ford Mustang GT Pro Axle-back, Black Tips",Exhaust Systems,Modern Muscle,27.33,13.75,9.85,33.5,748354030464,542.40,298.32
MMEXH-MUS8-15APP,"2015-2017 Ford Mustang GT Pro Axle-back, Polished Tips",Exhaust Systems,Modern Muscle,27.33,13.75,9.85,33.5,748354030457,542.40,298.32
MMEXH-MUS8-15ARBK,"2015-2017 Ford Mustang GT Race Axle-back, Black Tips",Exhaust Systems,Modern Muscle,27.33,13.75,9.85,33.5,748354030440,442.06,243.13
MMEXH-MUS8-15ARP,"2015-2017 Ford Mustang GT Race Axle-back, Polished Tips",Exhaust Systems,Modern Muscle,27.33,13.75,9.85,33.5,748354030433,442.06,243.13
MMEXH-MUS8-15ASBK,"2015-2017 Ford Mustang GT Street Axle-back, Black Tips",Exhaust Systems,Modern Muscle,27.33,13.75,9.85,33.5,748354031324,739.28,406.60
MMEXH-MUS8-15ASP,"2015-2017 Ford Mustang GT Street Axle-back, Polished Tips",Exhaust Systems,Modern Muscle,27.33,13.75,9.85,33.5,748354031317,739.28,406.60
MMEXH-MUS8-15HP,"Ford Mustang GT H-Pipe, 2015+",Exhaust Systems,Modern Muscle,27.19,9.8,13.75,33.5,748354030716,217.72,119.75
MMEXH-MUS8-15XP,"Ford Mustang GT X-Pipe, 2015+",Exhaust Systems,Modern Muscle,27.19,9.8,13.75,33.5,748354030723,217.72,119.75
MMEXH-WRX-15,"Subaru WRX/STI Cat-Back Exhaust, 2015-2021",Exhaust Systems,Sport Compact,92.24,11,58,24,748354019100,1198.38,659.11
MMFAN-10,"Slim Electric Fan 10""",Fans & Accessories Kits,Universal,5.29,5,13.5,13,748354797145,54.65,30.06
MMFAN-10C,"Curved Blade Fan, 10""",Fans & Accessories Kits,Universal,5.29,5,13.5,13,811580039041,88.10,48.46
MMFAN-10HD,"Race Line, High-Flow Fan, 10""",Fans & Accessories Kits,Universal,5.6,13,4.5,12,748354011852,106.01,58.31
MMFAN-11HD,"Race Line, High-Flow Fan, 11""",Fans & Accessories Kits,Universal,5.8,13,4.5,13,748354011869,116.43,64.04
MMFAN-12,"Slim Electric Fan, 12""",Fans & Accessories Kits,Universal,5.42,4,15,15,748354797152,71.96,39.58
MMFAN-12BL,"Slim Electric Fan, 12"", Blue",Fans & Accessories Kits,Universal,4.55,4,13.5,14,748354799729,79.51,43.73
MMFAN-12C,"Curved Blade Fan, 12""",Fans & Accessories Kits,Universal,5.42,4,15,15,811580039058,91.88,50.53
MMFAN-12HD,"Race Line, High-Flow Fan, 12""",Fans & Accessories Kits,Universal,6.2,14,4.5,14,748354011876,129.69,71.33
MMFAN-12RD,"Slim Electric Fan, 12"", Red",Fans & Accessories Kits,Universal,4.72,4,13.5,14.5,748354799736,79.51,43.73
MMFAN-14,"Slim Electric Fan, 14""",Fans & Accessories Kits,Universal,6.55,4.25,16,16,748354797169,63.76,35.07
MMFAN-14C,"Curved Blade Fan, 14""",Fans & Accessories Kits,Universal,6.55,4.25,16,16,811580039065,99.44,54.69
MMFAN-16,"Slim Electric Fan, 16""",Fans & Accessories Kits,Universal,7.37,18,17,4,748354797824,76.67,42.17
MMFAN-16C,"Curved Blade Fan, 16""",Fans & Accessories Kits,Universal,7.37,18,17,4,811580039072,113.30,62.32
MMFAN-16HD,"High-Flow Fan, 16""",Fans & Accessories Kits,Universal,9.73,5,19,17,748354011883,146.73,80.70
MMFAN-6,"Slim Electric Fan, 6""",Fans & Accessories Kits,Universal,1.81,10,3,10,840197711293,49.85,27.42
MMFAN-8,"Slim Electric Fan, 8""",Fans & Accessories Kits,Universal,3.81,5,11.5,11,748354810011,51.01,28.06
MMFAN-CLIPBK,Plastic Fan Clips,Fans & Accessories Kits,Universal,0.39,1,8,8,748354018738,5.00,2.75
MMFAN-CNTL-U18NPT,"Adjustable Fan Controller Kit  with 1/8"""" NPT Probe",Fans & Accessories Kits,Universal,1.06,2.75,8,8,811580038327,61.94,34.07
MMFAN-CNTL-UPROBE,Adjustable Fan Controller Kit  with Push In Probe,Fans & Accessories Kits,Universal,1.06,2.75,8,8,748354013726,58.29,32.06
MMFAN-MOUNT,Electric Fan Mounting Kit,Fans & Accessories Kits,Universal,1,1,5,11,748354797176,9.11,5.01
MMFAN-PWM-UBK,"Pulse Width Modulation Fan Controller, Black",Fans & Accessories Kits,Universal,0.84,2.5,7,8,840197718360,184.75,101.61
MMFAN-SWITCH,"Fan Switch 80 - Honda Civic, Integra, Accord, S2000",Fans & Accessories Kits,Universal,1,5,3,1,748354797183,33.70,18.54
MMFN-L,"Aluminum Fill Neck, Large",Accessories,Universal,1,4,1,3,748354803853,14.40,7.92
MMFN-S,"Aluminum Fill Neck, Small",Accessories,Universal,1,4,1,3,748354803846,14.40,7.92
MMFS-240-89KA,"Nissan 240SX w/ KA Fan Shroud Kit, 1989-1994",Fans & Accessories Kits,Sport Compact,14.64,27,18,5,748354799118,214.88,118.18
MMFS-240-95KA,"Nissan 240SX w/ KA Fan Shroud Kit, 1995-1998",Fans & Accessories Kits,Sport Compact,23.53,6,21,31,748354799101,214.88,118.18
MMFS-300ZX-90T,"Nissan 300ZX Turbo Fan Shroud Kit, 1990-1996",Fans & Accessories Kits,Sport Compact,21.64,5.5,23.75,27.5,748354800395,214.88,118.18
MMFS-350Z-03,"Nissan 350Z Fan Shroud Kit, 2003-2006",Fans & Accessories Kits,Sport Compact,26.64,6,22,33.5,748354799743,212.04,116.62
MMFS-3KGT-91,"Mitsubishi 3000GT Turbo Fan Shroud Kit, 1991-1999",Fans & Accessories Kits,Sport Compact,18.67,31,5,20,748354800135,214.88,118.18
MMFS-AE86-83,"Toyota Corolla Fan Shroud Kit, 1983-1987",Fans & Accessories Kits,Sport Compact,13.55,25,5,18,748354800173,214.88,118.18
MMFS-B4-90,"Subaru Legacy Turbo Fan Shroud Kit, 1990-1994",Fans & Accessories Kits,Sport Compact,24.29,6,21,32,748666007000,214.88,118.18
MMFS-BRZ-13P,"Subaru/Scion/Toyota BRZ/FR-S/86 Fan Shroud Kit, 2013+, Polished",Fans & Accessories Kits,Sport Compact,18.77,18.9,5.3,31.1,748354022605,300.07,165.04
MMFS-BRZ-13PBK,"Subaru/Scion/Toyota BRZ/FR-S/86 Fan Shroud Kit, 2013+, Black",Fans & Accessories Kits,Sport Compact,19.41,19,5.3,32,748354030747,320.89,176.49
MMFS-CIV-06SI,"Honda Civic Si Fan Shroud Kit, 2006-2011",Fans & Accessories Kits,Sport Compact,17.17,30,5,19,748354800166,214.88,118.18
MMFS-CIV-92,"Honda Civic Fan Shroud Kit, 1992-2000",Fans & Accessories Kits,Sport Compact,16.27,20,6,22.5,748354799095,158.08,86.94
MMFS-CRX-88,"Honda CRX Fan Shroud Kit, 1988-1991",Fans & Accessories Kits,Sport Compact,10,27,17,3,748354799088,214.88,118.18
MMFS-DBP-26,Dual-Pass Race Radiator Fan Shroud Kit,Fans & Accessories Kits,Universal,15.9,5,22,24,748354800906,214.88,118.18
MMFS-E36-92K,"92-99 BMW E36 Fan Shroud + CNTRL 1/8"" NPT + Push In Probe",Fans & Accessories Kits,European,32.48,7.4,23.5,31,811580037689,245.19,134.85
MMFS-E36-92P,"BMW E36 3-Series Fan Shroud Kit, 1992-1999",Fans & Accessories Kits,European,33.17,24,7.4,31,748354019353,239.68,131.82
MMFS-E46-01,"BMW E46 M3 Fan Shroud Kit, 2001-2006",Fans & Accessories Kits,European,32.48,7.4,23.5,31,748354012040,206.58,113.62
MMFS-E46-01K,"01-06 BMW M3 Fan Shroud + CNTRL 1/8"" NPT + Push In Probe",Fans & Accessories Kits,European,32.48,23.5,7.4,31,811580037696,281.14,154.63
MMFS-E46-99,"BMW E46 3-Series Fan Shroud Kit, 1999-2006",Fans & Accessories Kits,European,26.19,23,7,27,748354024067,242.32,133.28
MMFS-E46-99K,"99-06 BMW E46 Fan Shroud + CNTRL 1/8"" NPT + Push In Probe",Fans & Accessories Kits,European,26.19,23,7,27,811580037702,239.67,131.82
MMFS-ECL-95T,"Mitsubishi Eclipse Turbo Fan Shroud Kit, 1995-1999",Fans & Accessories Kits,Sport Compact,10,28,18,3,748354799064,211.28,116.20
MMFS-EVO-01,"Mitsubishi Lancer Evolution VII/VIII/IX Fan Shroud Kit, 2001-2007",Fans & Accessories Kits,Sport Compact,10,28,17,2,748354799057,214.88,118.18
MMFS-EVO-10,"Mitsubishi Lancer Evolution X Fan Shroud Kit, 2008-2015",Fans & Accessories Kits,Sport Compact,16.67,6,22.5,20.5,748354800227,214.88,118.18
MMFS-GC8-93,"Subaru Impreza Fan Shroud Kit, 1993-1998",Fans & Accessories Kits,Sport Compact,19.92,19,6,29,748354800357,214.88,118.18
MMFS-HDOC-10,"10"" Heavy-Duty Oil Cooler Fan Shroud, Micro Wrinkle Black",Fans & Accessories Kits,Universal,2.89,4,8,15,840197700556,221.84,122.01
MMFS-HDOC-17,"17"" Heavy-Duty Oil Cooler Fan Shroud, Micro Wrinkle Black",Fans & Accessories Kits,Universal,4.24,4,8,22,840197700563,320.73,176.40
MMFS-INT-90,"Acura Integra Fan Shroud Kit, 1990-1993",Fans & Accessories Kits,Sport Compact,12.14,28,18,4,748354799774,177.01,97.36
MMFS-INT-94,"Acura Integra Fan Shroud Kit, 1994-2001",Fans & Accessories Kits,Sport Compact,24.09,6,21.5,31,748354799040,214.88,118.18
MMFS-MIA-90,"Mazda Miata Fan Shroud Kit, 1990-1997",Fans & Accessories Kits,Sport Compact,10,16,3,24,748354799781,214.88,118.18
MMFS-MIA-99,"Mazda Miata Fan Shroud Kit, 1999-2005",Fans & Accessories Kits,Sport Compact,23.53,21,6,31,748354799798,214.88,118.18
MMFS-MR2-90,"Toyota MR2 Turbo Fan Shroud Kit, 1990-1997",Fans & Accessories Kits,Sport Compact,21.92,5.5,21,31.5,748354800197,214.88,118.18
MMFS-MUS-79,"Ford Mustang Fan Shroud Kit, 1979-1993",Fans & Accessories Kits,Classic,12.53,26,20,4,748354799033,214.88,118.18
MMFS-MUS-94,"Ford Mustang  Fan Shroud Kit, 1994-1996",Fans & Accessories Kits,Classic,19.61,5,21,31,748354799026,198.74,109.31
MMFS-MUS-97,"Ford Mustang  Fan Shroud Kit, 1997-2004",Fans & Accessories Kits,Classic,26.03,6,21.5,33.5,748354799019,214.88,118.18
MMFS-PRE-97,"Honda Prelude Fan Shroud Kit, 1997-2001",Fans & Accessories Kits,Sport Compact,23.53,6,21,31,748354799002,214.88,118.18
MMFS-PRO-03,"Mazda Protégé Fan Shroud Kit, 2001-2003",Fans & Accessories Kits,Sport Compact,24.65,22,6,31,748354809091,177.01,97.36
MMFS-R32-RHD,"Nissan Skyline R32 Fan Shroud Kit, 1988-1994",Fans & Accessories Kits,Sport Compact,23.53,6,21,31,748354798999,214.88,118.18
MMFS-R33-RHD,"Nissan Skyline R33 Fan Shroud Kit, 1995-1998",Fans & Accessories Kits,Sport Compact,11.45,20,19,5,748354798982,214.88,118.18
MMFS-RSX-02,"Acura RSX Fan Shroud Kit, 2002-2006",Fans & Accessories Kits,Sport Compact,23.53,6,21,31,748354800142,214.88,118.18
MMFS-RX8-04,"Mazda RX-8 Fan Shroud Kit, 2004-2008",Fans & Accessories Kits,Sport Compact,16.02,19,5,28,748354800333,214.88,118.18
MMFS-RX-LS,"Mazda RX-7 w/ LS Fan Shroud Kit, 1993-1997",Fans & Accessories Kits,Sport Compact,20.96,5.5,23,27.5,748354805079,214.88,118.18
MMFS-S13-89SR,"Nissan 240SX w/ SR20 Fan Shroud Kit, 1989-1994",Fans & Accessories Kits,Sport Compact,23.53,6,21,31,748354798975,214.88,118.18
MMFS-S14-95SR,"Nissan 240SX w/ SR20 Fan Shroud Kit, 1995-1998",Fans & Accessories Kits,Sport Compact,24.09,21.5,6,31,748354798968,214.88,118.18
MMFS-S2K-00,"Honda S2000 Fan Shroud Kit, 2000-2009",Fans & Accessories Kits,Sport Compact,10,27,17,3,748354798951,214.88,118.18
MMFS-STI-08P,"Subaru Impreza WRX/STI Fan Shroud Kit, 2008-2014",Fans & Accessories Kits,Sport Compact,33.18,23.5,7.5,31.25,748354011227,234.76,129.12
MMFS-SUP-86,"Toyota Supra Fan Shroud Kit, 1986-1992",Fans & Accessories Kits,Sport Compact,23.53,6,21,31,748354800180,214.88,118.18
MMFS-SUP-93T,"Toyota Supra Fan Shroud Kit, 1993-1998",Fans & Accessories Kits,Sport Compact,13.73,30,19,4,748354798944,214.88,118.18
MMFS-WRA-87K,"87-06 Wrangler YJ/TJ Fan Shroud+CNTRL 1/8"" NPT + Push Probe",Fans & Accessories Kits,Jeep,32.48,23.5,7.4,31,811580037726,447.37,246.05
MMFS-WRX-01P,"Subaru Impreza WRX/STI Fan Shroud Kit, 2002-2007",Fans & Accessories Kits,Sport Compact,32.91,23.5,7.5,31,748666008571,288.71,158.79
MMFT-10AN-45,"45° -10 AN Push On Swivel Adapter, Aluminum",Oil Cooler Kits & Components,Universal,0.05,2,2,2,811580037337,17.51,9.63
MMFT-16ORB-114BK,"'-16ORB to 1 1/4"" Hose Barb Aluminum Fitting, Black",Oil Cooler Kits & Components,Universal,0.05,2,2,2,840197700082,23.15,12.73
MMFT-16ORB-12BK,"'-16ORB to -12AN Aluminum Fitting, Black",Fabrication,Universal,0.05,2,2,2,840197700099,15.43,8.49
MMFT-16ORB-16BK,"'-16ORB to -16AN Aluminum Fitting, Black",Fabrication,Universal,0.05,2,2,2,840197700105,15.43,8.49
MMFT-16ORB-1BK,"'-16ORB to 1"" Hose Barb Aluminum Fitting, Black",Oil Cooler Kits & Components,Universal,0.05,2,2,2,840197700075,23.15,12.73
MMFT-16ORB-34BK,"'-16ORB to 3/4"" Hose Barb Aluminum Fitting, Black",Oil Cooler Kits & Components,Universal,0.05,2,2,2,840197700068,23.15,12.73
MMFT-ADA-0414,"Aluminum -4AN to 1/4 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702598,3.12,1.72
MMFT-ADA-0418,"Aluminum -4AN to 1/8 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702581,3.12,1.72
MMFT-ADA-0612,"Aluminum -6AN to 1/2 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702635,3.12,1.72
MMFT-ADA-0614,"Aluminum -6AN to 1/4 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702611,3.12,1.72
MMFT-ADA-0618,"Aluminum -6AN to 1/8 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702604,3.12,1.72
MMFT-ADA-0638,"Aluminum -6AN to 3/8 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702628,3.12,1.72
MMFT-ADA-0812,"Aluminum -8AN to 1/2 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702666,3.12,1.72
MMFT-ADA-0814,"Aluminum -8AN to 1/4 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702642,5.20,2.86
MMFT-ADA-0838,"Aluminum -8AN to 3/8 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702659,3.12,1.72
MMFT-ADA-1012,"Aluminum -10AN to 1/2 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702680,3.12,1.72
MMFT-ADA-1038,"Aluminum -10AN to 3/8 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702673,3.12,1.72
MMFT-ADA-1212,"Aluminum -12AN to 1/2 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702697,7.28,4.00
MMFT-ADA-1234,"Aluminum -12AN to 3/4 NPT Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702703,7.28,4.00
MMFT-CHKVLV-34,"Performance One-Way Check Valve, 3/4""",Oil Catch Can Kits & Components,Universal,0.05,2,2,2,811580036323,80.42,44.23
MMFT-M16-10SBK,"90 Degree Banjo Swivel M16x1.5 1/2"" Barbed Fitting",Transmission Cooler Kits & Components,Universal,0.5,1,1,1,811580034268,17.69,9.73
MMFT-M16-12BK,"2pcs M16x1.5 1/2"" Aluminum Catch Can Fitting, Black",Oil Catch Can Kits & Components,Universal,0.02,1,2,2,840197706268,10.40,5.72
MMFT-M16-38BK,"2pcs M16x1.5 3/8"" Aluminum Catch Can Fitting, Black",Oil Catch Can Kits & Components,Universal,0.02,1,2,2,840197706251,10.40,5.72
MMFT-M16-6BK,"M16x1.5 to -6AN Aluminum Fitting, Black",Fabrication,Universal,0.5,1,1,1,811580034183,8.00,4.40
MMFT-M22-10,M22 Dowty Seal Fitting to 10AN,Oil Catch Can Kits & Components,Universal,0.01,1,1,1,840197707807,11.44,6.29
MMFT-M22-12,M22 Dowty Seal Fitting to 12AN,Oil Catch Can Kits & Components,Universal,0.01,1,1,1,840197707814,11.44,6.29
MMFT-M22-18NPT,"M22 Dowty Seal Fitting with 1/8""-27 NPT Port",Oil Catch Can Kits & Components,Universal,0.01,1,1,1,840197707821,11.44,6.29
MMFT-M22-8,M22 Dowty Seal Fitting to 8AN,Oil Catch Can Kits & Components,Universal,0.01,1,1,1,840197707791,11.44,6.29
MMFT-M27-34BK,"M27x2.0 to 3/4"" Hose Barb Aluminum Fitting, Black",Transmission Cooler Kits & Components,Universal,0.5,1,1,1,811580034237,11.00,6.05
MMFT-PL-10120,"120-Degree Push Lock Fitting, -10AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716755,23.00,12.65
MMFT-PL-10180,"180-Degree Push Lock Fitting, -10AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197717479,23.00,12.65
MMFT-PL-1045,"45-Degree Push Lock Fitting, -10AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716687,22.00,12.10
MMFT-PL-1090,"90-Degree Push Lock Fitting, -10AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716731,22.00,12.10
MMFT-PL-10S,"Straight Push Lock Fitting, -10AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716632,8.00,4.40
MMFT-PL-12120,"120-Degree Push Lock Fitting, -12AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716762,26.00,14.30
MMFT-PL-1245,"45-Degree Push Lock Fitting, -12AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716694,23.00,12.65
MMFT-PL-1290,"90-Degree Push Lock Fitting, -12AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716748,23.00,12.65
MMFT-PL-12S,"Straight Push Lock Fitting, -12AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716649,8.00,4.40
MMFT-PL-445,"45-Degree Push Lock Fitting, -4AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716656,15.00,8.25
MMFT-PL-490,"90-Degree Push Lock Fitting, -4AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716700,15.00,8.25
MMFT-PL-4S,"Straight Push Lock Fitting, -4AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716601,5.00,2.75
MMFT-PL-6180,"180-Degree Push Lock Fitting, -6AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716779,19.00,10.45
MMFT-PL-645,"45-Degree Push Lock Fitting, -6AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716663,16.00,8.80
MMFT-PL-690,"90-Degree Push Lock Fitting, -6AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716717,16.00,8.80
MMFT-PL-6S,"Straight Push Lock Fitting, -6AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716618,6.00,3.30
MMFT-PL-8180,"180-Degree Push Lock Fitting, -8AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716786,21.00,11.55
MMFT-PL-845,"45-Degree Push Lock Fitting, -8AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716670,19.00,10.45
MMFT-PL-890,"90-Degree Push Lock Fitting, -8AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716724,19.00,10.45
MMFT-PL-8S,"Straight Push Lock Fitting, -8AN",Oil Cooler Kits & Components,Sport Compact,0.04,1,2,3,840197716625,7.00,3.85
MMFT-RED-0406,"Aluminum -4AN to -6AN Reducer Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702765,5.20,2.86
MMFT-RED-0608,"Aluminum -6AN to -8AN Reducer Fitting, Black",Oil Cooler Kits & Components,Universal,0.14,1.5,4,4,840197702772,5.20,2.86
