reference;wholesale_price;price;;;;;;discount
VWR1210R602G;433,116;721,86;;;;;;30
VWR1210R603G;503,994;839,99;;;;;;30
VWR12G7R600OS;18,84;31,4;;;;;;30
VWR12L0CR;310,404;517,34;;;;;;30
VWR12L0CRC;322,686;537,81;;;;;;30
VWR12P0GT;219,492;365,82;;;;;;30
VWR12P1GT;244,884;408,14;;;;;;30
VWR12P1GTC;257,166;428,61;;;;;;30
VWR12P2GTG;380,826;634,71;;;;;;30
VWR12P2GTM;380,826;634,71;;;;;;30
VWR12PRWRC;522,1125;614,25;;;;;;5
VWR12UPGT;244,884;408,14;;;;;;30
VWR12UPGTCOMP;302,214;503,69;;;;;;30
VWR121000;212,124;353,54;;;;;;30
VWR121001;212,124;353,54;;;;;;30
VWR121002;212,124;353,54;;;;;;30
VWR121003;212,124;353,54;;;;;;30
VWR1213RS;865,464;1442,44;;;;;;30
VWR120000;22,519497;30,03;;;;;;15,01
VWR120001;4,102781;6,83;;;;;;29,93
VWR120002;4,102781;6,83;;;;;;29,93
VWR120030S3PA;33,441222;47,78;;;;;;20,01
VWR1200BRAC;27,304;34,13;;;;;;10
VWR1200BUNG;16,375632;21,84;;;;;;15,02
VWR1200G5PA;33,441222;47,78;;;;;;20,01
VWR1200G6PA;33,441222;47,78;;;;;;20,01
VWR1200L0CR;33,441222;47,78;;;;;;20,01
VWR12G614FO;81,221;116,03;;;;;;20
VWR12G6GTFO;66,557238;102,38;;;;;;24,99
VWR12G6GTFOC;79,8525;122,85;;;;;;25
VWR12G60RAB;66,557238;102,38;;;;;;24,99
VWR12G60RFO;66,557238;102,38;;;;;;24,99
VWR12G60RFOC;79,8525;122,85;;;;;;25
VWR12G7R600FO;66,557238;102,38;;;;;;24,99
VWR12G7R600SPAF ;20,475;27,3;;;;;;15
VWR12G7R601FO;97,5975;150,15;;;;;;25
VWR12G7R602FO;97,5975;150,15;;;;;;25
VWR12G7R603FO;115,3425;177,45;;;;;;25
VWR12UPGTFO;72,514;111,56;;;;;;25
VWR12P1GTFO;66,557238;102,38;;;;;;24,99
VWR12P1GTFOC;79,8525;122,85;;;;;;25
VWR12PRWRCFO;59,449;91,46;;;;;;25
VWR1241S4FO;154,791;221,13;;;;;;20
VWR21G702;573,3;955,5;;;;;;30
VWR21G702CUP;286,65;477,75;;;;;;30
VWR21G702R;573,3;955,5;;;;;;30
VWR21G702RCUP;286,65;477,75;;;;;;30
VWR21G701;646,194;1076,99;;;;;;30
VWR21G70RV;1267,8835;1950,59;;;;;;25
VWR21G70RVRES;1365,481;2100,74;;;;;;25
VWR21G70RNV;939,601;1445,54;;;;;;25
VWR21G70RNVRES;1028,326;1582,04;;;;;;25
VWR120003;153,156;255,26;;;;;;30
VWR120010;153,156;255,26;;;;;;30
VWR120011;106,464;177,44;;;;;;30
VWR12G7R600ITRED;65,52;109,2;;;;;;30
VWR12G7R600ITBLA;65,52;109,2;;;;;;30
VWR12G7R600ITBLU;65,52;109,2;;;;;;30
VWR12G7R600ITGREY;65,52;109,2;;;;;;30
VWR12G7R602ITBLA;65,52;109,2;;;;;;30
VWR12G7R600ITINLET;85,998;143,33;;;;;;30
VWR12P1GTIS38;173,25;288,75;;;;;;30
VWR12P101;57,105516;95,16;;;;;;29,99
VWR12P102;33,473578;55,78;;;;;;29,99
VWR12UPITINLET;67,158;111,93;;;;;;30
VWR140004;135,81;226,35;;;;;;30
VWR140006;135,81;226,35;;;;;;30
VWR140007;23,628;39,38;;;;;;30
VWR140010;135,81;226,35;;;;;;30
VWR140011;196,866;328,11;;;;;;30
VWR14G700;532,35;887,25;;;;;;30
VWR141001;376,682625;623,75;;;;;;29,61
VWR143000;626,520125;1041,25;;;;;;29,83
VWR14G7IS38COMP;1965,6;3276;;;;;;30
VWR14G7IS38COMP;2457;3276;;;;;;15
VWR14G7IS38CORE;1365;1365;;;;;;0
VWR160000;98,28;163,8;;;;;;30
VWR160001;73,71;122,85;;;;;;30
VWR16G7TDEL;73,71;122,85;;;;;;30
VWR17G7R600;32,76;54,6;;;;;;30
VWR17G8R600;32,76;54,6;;;;;;30
VWR90000;26,388342;43,74;;;;;;29,67
VWR900001;26,388342;43,74;;;;;;29,67
VWR900002;26,388342;43,74;;;;;;29,67
VWR13G500;288,3595;443,63;;;;;;25
VWR130004;3,685842;6,14;;;;;;29,97
VWR130006;34,811801;58,01;;;;;;29,99
VWR131000;532,344;887,24;;;;;;30
VWR13G500;288,3595;443,63;;;;;;25
VWR13G700;401,31;668,85;;;;;;30
VWR13G700RFK;40,95;54,6;;;;;;15
VWR13G700-SERV;18,84;31,4;;;;;;30
VWR130005;13,654206;21,13;;;;;;25,38
VWR180000;7,514506;15,02;;;;;;39,97
VWR180001;32,76;54,6;;;;;;30
VWR180002;18,011994;30,03;;;;;;30,02
VWR180003;18,011994;30,03;;;;;;30,02
VWR180004;22,935822;38,22;;;;;;29,99
VWR180005;3,15;5,25;;;;;;30
VWR180006;8,525;17,05;;;;;;40
VWR18G700;360,36;600,6;;;;;;30
VWR18G700-EUBRACKETS;31,052222;47,78;;;;;;25,01
VWR18G700-SERV;18,84;31,4;;;;;;30
VWR190000;54,6;109,2;;;;;;40
VWR190001;66,885;133,77;;;;;;40
VWR190002;40,95;81,9;;;;;;40
VWR190003;67,57;135,14;;;;;;40
VWR190004;40,95;81,9;;;;;;40
VWR190005;33,8;67,6;;;;;;40
VWR190006;49,195;98,39;;;;;;40
VWR19G701;34,125;68,25;;;;;;40
VWR19G702;40,95;81,9;;;;;;40
VWR19G703;47,775;95,55;;;;;;40
VWR19G704;40,95;81,9;;;;;;40
VWR19G706;44,365;88,73;;;;;;40
VWR19G707;40,95;81,9;;;;;;40
VWR19G708;47,775;95,55;;;;;;40
VWR19G709;51,19;102,38;;;;;;40
VWR19G711;54,6;109,2;;;;;;40
VWR493000;112,494;187,49;;;;;;30
VWR493001;112,494;187,49;;;;;;30
VWR494100;112,494;187,49;;;;;;30
VWR494101;112,494;187,49;;;;;;30
VWR49G700;112,494;187,49;;;;;;30
VWR49G701;112,494;187,49;;;;;;30
VWR700000;81,894;136,49;;;;;;30
