reference;wholesale_price_pound;price_pound;price_displayed_pound;wholesale_price;price;;;discount
VWR1130RS;36,04;60,06;60,06;45,06;75,08;;;30
VWR1140S4;60,39;86,27;86,27;75,49;107,84;;;20
VWR1141S4;65,52;109,2;109,2;81,9;136,5;;;30
VWR119052;141,41;202,02;202,02;176,77;252,53;;;20
VWR119042;141,41;202,02;202,02;176,77;252,53;;;20
VWR11A001;36,04;60,06;60,06;45,06;75,08;;;30
VWR11G501;32,76;54,6;54,6;40,95;68,25;;;30
VWR11G502;32,76;54,6;54,6;40,95;68,25;;;30
VWR11G503;32,76;54,6;54,6;40,95;68,25;;;30
VWR11G701;39,31;65,52;65,52;49,14;81,9;;;30
VWR11G714;42,59;70,98;70,98;53,24;88,73;;;30
VWR11G815;42,59;70,98;70,98;53,24;88,73;;;30
VWR11P0GT;56,57;80,81;80,81;70,72;101,01;;;20
VWR11P1GT;49,69;70,98;70,98;62,12;88,73;;;20
VWR11TR20;36,04;60,06;60,06;45,06;75,08;;;30
VWR11UPGT;44,01;67,7;67,7;55,01;84,63;;;25
VWR121020;289,71;413,87;413,87;362,14;517,34;;;20
VWR121020ML;289,71;413,87;413,87;362,14;517,34;;;20
VWR121101;254,87;424,79;424,79;318,59;530,99;;;30
VWR1230S3;254,87;424,79;424,79;318,59;530,99;;;30
VWR1230S3C;264,7;441,17;441,17;330,88;551,46;;;30
VWR1241S4;511,06;851,76;851,76;638,82;1064,7;;;30
VWR1241RS;511,06;851,76;851,76;638,82;1064,7;;;30
VWR12A1S1;212,28;353,81;353,81;265,36;442,26;;;30
VWR12A1S1C;225,39;375,65;375,65;281,74;469,56;;;30
VWR12G50D;163,14;271,91;271,91;203,93;339,89;;;30
VWR12G50DC;172,97;288,29;288,29;216,22;360,36;;;30
VWR12G5GT;228,66;381,11;381,11;285,83;476,39;;;30
VWR12G5GTC;238,49;397,49;397,49;298,12;496,86;;;30
VWR12G60D;163,14;271,91;271,91;203,93;339,89;;;30
VWR12G60DC;172,97;288,29;288,29;216,22;360,36;;;30
VWR12G60R;241,77;402,95;402,95;302,21;503,69;;;30
VWR12G60RC;251,6;419,33;419,33;314,5;524,16;;;30
VWR12G6GT;163,14;271,91;271,91;203,93;339,89;;;30
VWR12G6GTC;172,97;288,29;288,29;216,22;360,36;;;30
VWR12G6K03;228,66;381,11;381,11;285,83;476,39;;;30
VWR12G6K03C;238,49;397,49;397,49;298,12;496,86;;;30
VWR12G614;163,14;271,91;271,91;203,93;339,89;;;30
VWR12G70D;179,52;299,21;299,21;224,41;374,01;;;30
VWR12G70DC;189,35;315,59;315,59;236,69;394,49;;;30
VWR12G714;229,32;382,2;382,2;286,65;477,75;;;30
VWR12G714C;239,15;398,58;398,58;298,94;498,23;;;30
VWR12G7CUP;199,18;331,97;331,97;248,98;414,96;;;30
VWR1200R600E;212,28;353,81;353,81;265,36;442,26;;;30
VWR1200R600EUSA;212,28;353,81;353,81;265,36;442,26;;;30
VWR1200R601E;231,94;386,57;386,57;289,93;483,21;;;30
VWR1200R601EUSA;231,94;386,57;386,57;289,93;483,21;;;30
VWR12G7R600;212,28;353,81;353,81;265,36;442,26;;;30
VWR12G7R600USA;212,28;353,81;353,81;265,36;442,26;;;30
VWR12G7R601;231,94;386,57;386,57;289,93;483,21;;;30
VWR12G7R601USA;231,94;386,57;386,57;289,93;483,21;;;30
VWR12G7R602;231,94;386,57;386,57;289,93;483,21;;;30
VWR12G7R602USA;231,94;386,57;386,57;289,93;483,21;;;30
VWR12G7R603;251,6;419,33;419,33;314,5;524,16;;;30
VWR12G7R603USA;251,6;419,33;419,33;314,5;524,16;;;30
VWR1210R600EM;314,37;523,95;523,95;392,96;654,94;;;30
VWR1210R601EM;346,49;577,49;577,49;433,12;721,86;;;30
VWR1210R602M;346,49;577,49;577,49;433,12;721,86;;;30
VWR1210R603M;403,19;671,99;671,99;503,99;839,99;;;30
VWR1210R600EG;314,37;523,95;523,95;392,96;654,94;;;30
VWR1210R601EG;346,49;577,49;577,49;433,12;721,86;;;30
VWR1210R602G;346,49;577,49;577,49;433,12;721,86;;;30
VWR1210R603G;403,19;671,99;671,99;503,99;839,99;;;30
VWR12G7R600OS;15,07;25,12;25,12;18,84;31,4;;;30
VWR12L0CR;248,32;413,87;413,87;310,4;517,34;;;30
VWR12L0CRC;258,15;430,25;430,25;322,69;537,81;;;30
VWR12P0GT;175,59;292,66;292,66;219,49;365,82;;;30
VWR12P1GT;195,9;326,51;326,51;244,88;408,14;;;30
VWR12P1GTC;205,73;342,89;342,89;257,17;428,61;;;30
VWR12P2GTG;304,66;507,77;507,77;380,83;634,71;;;30
VWR12P2GTM;304,66;507,77;507,77;380,83;634,71;;;30
VWR12PRWRC;417,69;491,4;491,4;522,11;614,25;;;5
VWR12UPGT;195,9;326,51;326,51;244,88;408,14;;;30
VWR12UPGTCOMP;241,77;402,95;402,95;302,21;503,69;;;30
VWR121000;169,7;282,83;282,83;212,12;353,54;;;30
VWR121001;169,7;282,83;282,83;212,12;353,54;;;30
VWR121002;169,7;282,83;282,83;212,12;353,54;;;30
VWR121003;169,7;282,83;282,83;212,12;353,54;;;30
VWR1213RS;692,37;1153,95;1153,95;865,46;1442,44;;;30
VWR120000;18,015;24,02;24,02;22,52;30,03;;;15
VWR120001;3,28;5,46;5,46;4,1;6,83;;;30
VWR120002;3,28;5,46;5,46;4,1;6,83;;;30
VWR120030S3PA;26,75;38,22;38,22;33,44;47,78;;;20
VWR1200BRAC;21,84;27,3;27,3;27,3;34,13;;;10
VWR1200BUNG;13,1;17,47;17,47;16,38;21,84;;;15
VWR1200G5PA;26,75;38,22;38,22;33,44;47,78;;;20
VWR1200G6PA;26,75;38,22;38,22;33,44;47,78;;;20
VWR1200L0CR;26,75;38,22;38,22;33,44;47,78;;;20
VWR12G614FO;64,97;92,82;92,82;81,22;116,03;;;20
VWR12G6GTFO;53,24;81,9;81,9;66,56;102,38;;;25
VWR12G6GTFOC;63,88;98,28;98,28;79,85;122,85;;;25
VWR12G60RAB;53,24;81,9;81,9;66,56;102,38;;;25
VWR12G60RFO;53,24;81,9;81,9;66,56;102,38;;;25
VWR12G60RFOC;63,88;98,28;98,28;79,85;122,85;;;25
VWR12G7R600FO;53,24;81,9;81,9;66,56;102,38;;;25
VWR12G7R600SPAF ;16,38;21,84;21,84;20,48;27,3;;;15
VWR12G7R601FO;78,08;120,12;120,12;97,6;150,15;;;25
VWR12G7R602FO;78,08;120,12;120,12;97,6;150,15;;;25
VWR12G7R603FO;92,27;141,96;141,96;115,34;177,45;;;25
VWR12UPGTFO;58,01;89,25;89,25;72,51;111,56;;;25
VWR12P1GTFO;53,24;81,9;81,9;66,56;102,38;;;25
VWR12P1GTFOC;63,88;98,28;98,28;79,85;122,85;;;25
VWR12PRWRCFO;47,56;73,16;73,16;59,45;91,46;;;25
VWR1241S4FO;123,83;176,9;176,9;154,79;221,13;;;20
VWR21G702;458,64;764,4;764,4;573,3;955,5;;;30
VWR21G702CUP;229,32;382,2;382,2;286,65;477,75;;;30
VWR21G702R;458,64;764,4;764,4;573,3;955,5;;;30
VWR21G702RCUP;229,32;382,2;382,2;286,65;477,75;;;30
VWR21G701;516,95;861,59;861,59;646,19;1076,99;;;30
VWR21G70RV;1014,3;1560,47;1560,47;1267,88;1950,59;;;25
VWR21G70RVRES;1092,38;1680,59;1680,59;1365,48;2100,74;;;25
VWR21G70RNV;751,68;1156,43;1156,43;939,6;1445,54;;;25
VWR21G70RNVRES;822,66;1265,63;1265,63;1028,33;1582,04;;;25
VWR120003;122,52;204,2;204,2;153,16;255,26;;;30
VWR120010;122,52;204,2;204,2;153,16;255,26;;;30
VWR120011;85,17;141,95;141,95;106,46;177,44;;;30
VWR12G7R600ITRED;52,42;87,36;87,36;65,52;109,2;;;30
VWR12G7R600ITBLA;52,42;87,36;87,36;65,52;109,2;;;30
VWR12G7R600ITBLU;52,42;87,36;87,36;65,52;109,2;;;30
VWR12G7R600ITGREY;52,42;87,36;87,36;65,52;109,2;;;30
VWR12G7R602ITBLA;52,42;87,36;87,36;65,52;109,2;;;30
VWR12G7R600ITINLET;68,8;114,66;114,66;86;143,33;;;30
VWR12P1GTIS38;138,6;231;231;173,25;288,75;;;30
VWR12P101;45,68;76,13;76,13;57,11;95,16;;;30
VWR12P102;26,78;44,63;44,63;33,47;55,78;;;30
VWR12UPITINLET;53,73;89,54;89,54;67,16;111,93;;;30
VWR140004;108,65;181,08;181,08;135,81;226,35;;;30
VWR140006;108,65;181,08;181,08;135,81;226,35;;;30
VWR140007;18,9;31,5;31,5;23,63;39,38;;;30
VWR140010;108,65;181,08;181,08;135,81;226,35;;;30
VWR140011;157,49;262,49;262,49;196,87;328,11;;;30
VWR14G700;425,88;709,8;709,8;532,35;887,25;;;30
VWR141001;301,35;499;499;376,68;623,75;;;30
VWR143000;501,18;833;833;626,52;1041,25;;;30
VWR14G7IS38COMP;1572,48;2620,8;2620,8;1965,6;3276;;;30
VWR14G7IS38COMP;1965,6;2620,8;2620,8;2457;3276;;;15
VWR160000;78,62;131,04;131,04;98,28;163,8;;;30
VWR160001;58,97;98,28;98,28;73,71;122,85;;;30
VWR16G7TDEL;58,97;98,28;98,28;73,71;122,85;;;30
VWR17G7R600;26,21;43,68;43,68;32,76;54,6;;;30
VWR17G8R600;26,21;43,68;43,68;32,76;54,6;;;30
VWR90000;21,11;34,99;34,99;26,39;43,74;;;30
VWR900001;21,11;34,99;34,99;26,39;43,74;;;30
VWR900002;21,11;34,99;34,99;26,39;43,74;;;30
VWR13G500;230,69;354,9;354,9;288,36;443,63;;;25
VWR130004;2,95;4,91;4,91;3,69;6,14;;;30
VWR130006;27,85;46,41;46,41;34,81;58,01;;;30
VWR131000;425,87;709,79;709,79;532,34;887,24;;;30
VWR13G500;230,69;354,9;354,9;288,36;443,63;;;25
VWR13G700;321,05;535,08;535,08;401,31;668,85;;;30
VWR13G700RFK;32,76;43,68;43,68;40,95;54,6;;;15
VWR13G700-SERV;15,07;25,12;25,12;18,84;31,4;;;30
VWR130005;10,92;16,9;16,9;13,65;21,13;;;25
VWR180000;6,01;12,01;12,01;7,51;15,02;;;40
VWR180001;26,21;43,68;43,68;32,76;54,6;;;30
VWR180002;14,41;24,02;24,02;18,01;30,03;;;30
VWR180003;14,41;24,02;24,02;18,01;30,03;;;30
VWR180004;18,35;30,58;30,58;22,94;38,22;;;30
VWR180005;2,52;4,2;4,2;3,15;5,25;;;30
VWR180006;6,82;13,64;13,64;8,53;17,05;;;40
VWR18G700;288,29;480,48;480,48;360,36;600,6;;;30
VWR18G700-EUBRACKETS;24,84;38,22;38,22;31,05;47,78;;;25
VWR18G700-SERV;15,07;25,12;25,12;18,84;31,4;;;30
VWR190000;43,68;87,36;87,36;54,6;109,2;;;40
VWR190001;53,51;107,02;107,02;66,89;133,77;;;40
VWR190002;32,76;65,52;65,52;40,95;81,9;;;40
VWR190003;54,05;108,11;108,11;67,57;135,14;;;40
VWR190004;32,76;65,52;65,52;40,95;81,9;;;40
VWR190005;27,154;54,08;54,08;33,8;67,6;;;40
VWR190006;40,25;78,71;78,71;49,2;98,39;;;40
VWR19G701;27,3;54,6;54,6;34,13;68,25;;;40
VWR19G702;32,76;65,52;65,52;40,95;81,9;;;40
VWR19G703;38,22;76,44;76,44;47,78;95,55;;;40
VWR19G704;32,76;65,52;65,52;40,95;81,9;;;40
VWR19G706;35,49;70,98;70,98;44,37;88,73;;;40
VWR19G707;32,76;65,52;65,52;40,95;81,9;;;40
VWR19G708;38,22;76,44;76,44;47,78;95,55;;;40
VWR19G709;40,95;81,9;81,9;51,19;102,38;;;40
VWR19G711;43,68;87,36;87,36;54,6;109,2;;;40
VWR493000;89,99;149,99;149,99;112,49;187,49;;;30
VWR493001;89,99;149,99;149,99;112,49;187,49;;;30
VWR494100;89,99;149,99;149,99;112,49;187,49;;;30
VWR494101;89,99;149,99;149,99;112,49;187,49;;;30
VWR49G700;89,99;149,99;149,99;112,49;187,49;;;30
VWR49G701;89,99;149,99;149,99;112,49;187,49;;;30
VWR700000;65,51;109,19;109,19;81,89;136,49;;;30
VWR810000;11,47;22,93;22,93;14,34;28,67;;;40
VWR810002;38,66;64,43;64,43;48,32;80,54;;;30
VWR810003;131,04;218,4;218,4;163,8;273;;;30
