"Manufacturer","Price","Reference","Name","EAN13","Category","Weight","Height","Width","Length"
"Mishimoto","341.72","MMAI-MUS8-15BL","Mishimoto 2015-2017 Ford Mustang GT Performance Air Intake, Blue","748354034578","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","341.72","MMAI-MUS8-15RD","Mishimoto 2015-2017 Ford Mustang GT Performance Air Intake, Red","748354034585","Air Intake Kits & Components","23.13","10","16","24"
"Mishimoto","421.23","MMAI-RS-16P","Mishimoto Ford Focus RS Air Intake Kit, 2016-2018, Polished","748354034530","Air Intake Kits & Components","26.02","10","18","24"
"Mishimoto","421.23","MMAI-RS-16WBK","Mishimoto Ford Focus RS Air Intake Kit, 2016-2018, Wrinkle Black","748354034547","Air Intake Kits & Components","26.02","10","18","24"
"Mishimoto","421.23","MMAI-RS-16WBL","Mishimoto Ford Focus RS Air Intake Kit, 2016-2018, Nitrous Blue","748354036152","Air Intake Kits & Components","26.02","10","18","24"
"Mishimoto","327.52","MMAI-STI-08P","Mishimoto Subaru Impreza WRX/STI Air Intake Kit, 2008-2014, Polished","748354010954","Air Intake Kits & Components","14.34","8.5","14","20"
"Mishimoto","327.52","MMAI-STI-08WBK","Mishimoto Subaru Impreza WRX/STI Air Intake Kit, 2008-2014, Wrinkle Black","748354010961","Air Intake Kits & Components","14.34","8.5","14","20"
"Mishimoto","327.52","MMAI-STI-08WRD","Mishimoto Subaru Impreza WRX/STI Air Intake Kit, 2008-2014, Wrinkle Red","748354010978","Air Intake Kits & Components","14.34","8.5","14","20"
"Mishimoto","305.75","MMAI-STI-15P","Mishimoto Subaru WRX STI Air Intake Kit, 2015+, Polished","748354017311","Air Intake Kits & Components","13.49","8","14","20"
"Mishimoto","305.75","MMAI-STI-15WBK","Mishimoto Subaru WRX STI Air Intake Kit, 2015+, Wrinkle Black","748354017328","Air Intake Kits & Components","13.49","8","14","20"
"Mishimoto","305.75","MMAI-STI-15WRD","Mishimoto Subaru WRX STI Air Intake Kit, 2015+, Wrinkle Red","748354017335","Air Intake Kits & Components","13.49","8","14","20"
"Mishimoto","493.12","MMAI-SUP-20","Mishimoto 20+ Toyota Supra Performance Air Intake","811580038709","Air Intake Kits & Components","20.24","12","14","20"
"Mishimoto","16.00","MMAPL-BORNE-TBLL","Mishimoto Borne Off-road Signature Logo T-Shirt, Blue, Large","840197700846","Apparel, Gifts & Promo","0","0.5","12","0"
"Mishimoto","16.00","MMAPL-BORNE-TBLM","Mishimoto Borne Off-road Signature Logo T-Shirt, Blue, Medium","840197700839","Apparel, Gifts & Promo","0","0.5","12","0"
"Mishimoto","16.00","MMAPL-BORNE-TBLS","Mishimoto Borne Off-road Signature Logo T-Shirt, Blue, Small","840197700822","Apparel, Gifts & Promo","0","0.5","12","0"
"Mishimoto","16.00","MMAPL-BORNE-TBLXL","Mishimoto Borne Off-road Signature Logo T-Shirt, Blue, XL","840197700853","Apparel, Gifts & Promo","0","0.5","12","0"
"Mishimoto","17.39","MMAPL-HAT-BK","Mishimoto Snap-back Hat","748354023695","Apparel, Gifts & Promo","1.74","5","5.5","10.5"
"Mishimoto","27.00","MMAPL-HAT-STRW","Mishimoto Straw Hat","840197711514","Apparel, Gifts & Promo","48.19","20","20","20"
"Mishimoto","27.00","MMAPL-HOOD-BKLG","Mishimoto Athletic Script Hoodie, Black","748354017366","Apparel, Gifts & Promo","0","0","0","0"
"Mishimoto","30.43","MMAPL-HOOD-BKLOGO2XL","Mishimoto Logo Hoodie, Black, XXL","748354036794","Apparel, Gifts & Promo","0","0","0","0"
"Mishimoto","27.00","MMAPL-HOOD-BKLOGOLG","Mishimoto Logo Hoodie, Black, Large","748354027259","Apparel, Gifts & Promo","0","0","0","0"
"Mishimoto","27.00","MMAPL-HOOD-BKLOGOMD","Mishimoto Logo Hoodie, Black, Medium","748354027242","Apparel, Gifts & Promo","0","0","0","0"
"Mishimoto","27.00","MMAPL-HOOD-BKLOGOSM","Mishimoto Logo Hoodie, Black, Small","748354036800","Apparel, Gifts & Promo","0","0","0","0"
