reference;wholesale_price;price;;
WM-BM/CA/3/M;580,47;773,96;;
WM-BM/CA/3/G;651,915;869,22;;
S-BM/T/24H;4386,3675;5848,49;;
P-HF1312;315,4125;420,55;;
S-BM/T/15H;2686,425;3581,9;;
S-BM/T/15H;2686,425;3581,9;;
P-HF1312;315,4125;420,55;;
S-BM/T/10H;2457,0975;3276,13;;
P-HF1255;366,1875;488,25;;
TP-CT/59;1173,9525;1565,27;;
S-BM/T/10H;2457,0975;3276,13;;
P-HF1255;366,1875;488,25;;
TP-CT/59;1173,9525;1565,27;;
S-BM/T/29H;2758,05;3677,4;;
P-HF1424;315,4125;420,55;;
DI-BM/CA/6;1321,68;1762,24;;
P-HF1255;366,1875;488,25;;
S-BM/T/10H;2457,0975;3276,13;;
TP-CT/60;1173,9525;1565,27;;
P-HF1255;366,1875;488,25;;
S-BM/T/10H;2457,0975;3276,13;;
DI-BM/CA/6;1321,68;1762,24;;
TP-CT/60;1173,9525;1565,27;;
P-HF1424;315,4125;420,55;;
S-BM/T/29H;2758,05;3677,4;;
P-HF947;518,175;690,9;;
S-BM/T/1;5098,7475;6798,33;;
DI-BM/CA/2;864,24;1152,32;;
S-BM/T/16H;4907,82;6543,76;;
DI-BM/CA/8/G;973,4025;1297,87;;
DI-BM/CA/8/M;884,1;1178,8;;
P-HF1310;315,4125;420,55;;
S-BM/T/16H;4907,82;6543,76;;
DI-BM/CA/8/G;973,4025;1297,87;;
P-HF1310;315,4125;420,55;;
DI-BM/CA/8/M;884,1;1178,8;;
S-BM/T/28H;4544,28;6059,04;;
DI-BM/CA/2;864,24;1152,32;;
P-HF947;518,175;690,9;;
S-BM/T/1;5098,7475;6798,33;;
DI-BM/CA/8/M;884,1;1178,8;;
P-HF1310;315,4125;420,55;;
DI-BM/CA/8/G;973,4025;1297,87;;
S-BM/T/16H;4907,82;6543,76;;
S-BM/T/16H;4907,82;6543,76;;
DI-BM/CA/8/G;973,4025;1297,87;;
P-HF1310;315,4125;420,55;;
DI-BM/CA/8/M;884,1;1178,8;;
S-BM/T/28H;4544,28;6059,04;;
DP-TY/SS/1;1622,1;2162,8;;
E-TY/SS/1;875,1675;1166,89;;
S-BM/T/9H;3139,6275;4186,17;;
E-TY/SS/2;875,1675;1166,89;;
DP-TY/SS/2;1622,1;2162,8;;
S-BM/T/9H;3139,6275;4186,17;;
S-CO/TI/3;6364,29;8485,72;;
L-CO/SS/1;2373,7425;3164,99;;
L-CO/SS/2;1395,6675;1860,89;;
L-CO/SS/2;1395,6675;1860,89;;
L-CO/SS/1;2373,7425;3164,99;;
S-CO/TI/4;6364,29;8485,72;;
S-CO/TI/1;4595,6775;6127,57;;
P-HF868;778,7175;1038,29;;
P-HF886;425,52;567,36;;
MTP-CO/TI/2;3631,0425;4841,39;;
S-CO/TI/2;4541,0775;6054,77;;
TP-NIR35C;1107,0825;1476,11;;
TP-CT/1;1128,39;1504,52;;
P-HF1479;303,75;405;;
S-CU/TI/1H;4132,5;5510;;
L-FE/SS/2;1739,79;2319,72;;
MTP-FE488H;5046,4425;6728,59;;
L-FE/SS/1;3160,7775;4214,37;;
P-HF1082;340,0425;453,39;;
L-LA/T/1;3313,125;4417,5;;
P-HF880;403,455;537,94;;
M-LA/T/4;4713,4125;6284,55;;
TP-CT/7;987,63;1316,84;;
TP-CT/7;987,63;1316,84;;
M-LA/T/4;4713,4125;6284,55;;
P-HF880;403,455;537,94;;
P-HF880;403,455;537,94;;
M-LA/T/4;4713,4125;6284,55;;
TP-CT/8;987,63;1316,84;;
MTP-LA/TI/2;7432,1175;9909,49;;
MTP-LA/TI/2;7432,1175;9909,49;;
S-MC/TI/1;4133,8575;5511,81;;
S-MC/TI/3;4975,3425;6633,79;;
S-MC/TI/3;4975,3425;6633,79;;
S-MC/TI/2;4409,4225;5879,23;;
E-ME/SS/1;705,495;940,66;;
S-ME/TI/9H;2849,175;3798,9;;
S-ME/TI/9H;2849,175;3798,9;;
E-ME/SS/1;705,495;940,66;;
E-ME/SS/1;705,495;940,66;;
S-ME/TI/6H;2849,175;3798,9;;
S-ME/TI/6H;2849,175;3798,9;;
