Reference;Price;Purchase
AC-MK7-INLET;73,162602;43,8975612
AC-MK7-MD;71,536585;42,921951
AC-MK7-OC;40,642276;24,3853656
AC-MK7-RL;65,03252;39,019512
AC-MK7-RU;89,42;53,652
AC-MK7-THK-BK;142,268293;85,3609758
AC-MK7-THK-BL;142,268293;85,3609758
AC-MK7-THK-RD;142,268293;85,3609758
AC-MK7-TI;142,268293;85,3609758
AC-MK7-TO;138,203252;82,9219512
AC-MK7R-DP;300,804878;180,4829268
AC-MK7R-DPHS;382,104878;229,2629268
AC-MK8-IC;569,097561;341,4585366
AC-MK8R-DP;325,195122;195,1170732
AC-MQB-FD;81,292683;48,7756098
AC-MQB-IC;528,447154;317,0682924
AC-S1-CF-IP;325,195122;195,1170732
AC-S1-CH-BK;154,463415;92,678049
AC-S1-CH-RD;154,463415;92,678049
AC-S4B5-CB;455,28;273,168
AC-UNI-WD;13;7,8
AC-VAG-BC;36,577236;21,9463416
AC-VAG-CC;48,772358;29,2634148
AC-VAG-ODP;9,5;5,7
AC-WS-10;37,38;22,428
AC-WS-10-BT;49,82;29,892
AC-WS-12;38,04;22,824
AC-WS-12-BT;50,48;30,288
AC-WS-15;40,64;24,384
AC-WS-15-BT;54,54;32,724
AC-WS-20;47,11;28,266
AC-WS-20-BT;59,55;35,73
AC-WS-5;29,26;17,556
AC-WS-8;32,48;19,488
AC-WS-8-BT;44,92;26,952
AC-WS-AU-10;36,577236;21,9463416
AC-WS-AU-10-BT;48,777236;29,2663416
AC-WS-AU-12;36,577236;21,9463416
AC-WS-AU-12-BT;48,777236;29,2663416
AC-WS-AU-15;36,577236;21,9463416
AC-WS-AU-15-BT;48,777236;29,2663416
AC-300-CP-6;113,813008;68,2878048
AC-B58-DP;268,284553;160,9707318
AC-B58-IC;406,495935;243,897561
AC-B58-INLET;113,813008;68,2878048
AC-B58-TP;186,98374;112,190244
AC-BM-ODP;13,813008;8,2878048
AC-E46-FU;162,593496;97,5560976
AC-F97-DP;691,04878;414,629268
AC-FU-E36;97,552846;58,5317076
AC-G8X-DP;487,796748;292,6780488
AC-G8X-DPHS;569,096748;341,4580488
AC-M3-QS;48,772358;29,2634148
AC-N54-DP;276,414634;165,8487804
AC-N54-IC;349,585366;209,7512196
AC-N54-TB;162,593496;97,5560976
AC-N54-TP;134,14;80,484
AC-N55-DP;203,243902;121,9463412
AC-N55-DPHS;284,543902;170,7263412
AC-N55-OT;81,292683;48,7756098
AC-N55-TP;162,593496;97,5560976
AC-S55-CHP;81,292683;48,7756098
AC-S55-DP;365,845528;219,5073168
AC-S55-IC;528,447154;317,0682924
AC-S55-INLET;268,284553;160,9707318
AC-S55-JP;97,552846;58,5317076
AC-S55-MP;569,097561;341,4585366
AC-S55-OC;211,373984;126,8243904
AC-S55-OTC;40,642276;24,3853656
AC-S55-RAD;487,796748;292,6780488
AC-S55-TP;186,98374;112,190244
AC-S58-FP;235,764228;141,4585368
AC-S63-DP;406,495935;243,897561
AC-WS-BM-10;37,390244;22,4341464
AC-WS-BM-10-BT;49,585366;29,7512196
AC-WS-BM-12;37,390244;22,4341464
AC-WS-BM-12-BT;49,585366;29,7512196
AC-WS-BM-15;37,390244;22,4341464
AC-WS-BM-15-BT;49,585366;29,7512196
AC-300-CP-4;77,227642;46,3365852
AC-R56-TB;65,03252;39,019512
AC-FI7-RU;81,29;48,774
AC-FIST7-BAD;65,03252;39,019512
AC-FIST7-QS;40,64;24,384
AC-KC-FO-01-BK;16,25;9,75
AC-KC-FO-01-BL;16,25;9,75
AC-KC-FO-01-RD;16,25;9,75
AC-KC-FO-02-BK;16,25;9,75
AC-KC-FO-02-BL;16,25;9,75
AC-KC-FO-02-RD;16,25;9,75
AC-KC-FO-03-BK;16,25;9,75
AC-KC-FO-03-BL;16,25;9,75
AC-KC-FO-03-RD;16,25;9,75
AC-MK3ST-SC-BK;134,138211;80,4829266
AC-MK3ST-SC-BL;134,138211;80,4829266
AC-MK3ST-SC-RD;134,138211;80,4829266
AC-HD1-FU;89,42;53,652
AC-S2K-FU;97,55;58,53
AC-WS-15-FK;65,03252;39,019512
AC-WS-HN-15;56,902439;34,1414634
AC-WS-HN-20;60,972439;36,5834634
AC-40T-DP;589,422764;353,6536584
AC-NA-FU;105,68;63,408
AC-NC-FU;97,55;58,53
AC-RX8-FU;89,422764;53,6536584
AC-RX8-RU;89,42;53,652
AC-720-DPHS;626,00813;375,604878
AC-190-DP;674,788618;404,8731708
AC-204-FU;138,203252;82,9219512
AC-35-DP;333,325203;199,9951218
AC-45-BT;32,512195;19,507317
AC-45-DP;373,97561;224,385366
AC-45-FU-BK;121,943089;73,1658534
AC-45-FU-SL;121,943089;73,1658534
AC-45-IC;528,447154;317,0682924
AC-45-TB;113,813008;68,2878048
AC-451-RAD;439,01626;263,409756
